Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,There is nothing more annoying to a bank manager than trying to listen to more than one person speaking at any one time.,u,0,0,1,0
2,He contemplated becoming a bank manager before realising his true calling of writing and performing.,m,0,1,0,0
3,"Grants If you don''t fancy facing your bank manager and are looking to secure a smaller amount of money, a grant or a combination of grants could be more suited to your business.",u,0,0,1,0
4,"This guideâ€TMs packed with really useful tips thatâ€TMll help you perfect the art of impressing the bank manager, dealing with suppliers, writing letters, networking and more.",u,0,0,1,0
5,"If there is already some evidence that the business is likely to succeed, there is every chance that a shrewd bank manager will recognise a good opportunity for himself to earn even more money.",m,0,1,0,0
6,"The son of a bank manager, Gascoyne was educated at Salisbury cathedral choir school - where he absorbed something of the religiosity that became an aspect of his writing - and the Regent Street Polytechnic.",u,0,0,1,0
7,"And it looks a lot like your bank manager, for today, charity can be big business.",u,0,0,1,0
8,"The Appellants may genuinely intend to do so, and equally genuinely believe that there will be no problems in getting finance from the bank manager.",u,0,0,1,0
9,"Therefore, whether you used to be a bank manager or a nurse, consider yourself young or old, we''d be delighted to hear from you.",u,0,0,1,0
10,""" I decided to play safe, talk to my bank manager (again), and buy some rope-walkers as well.",u,0,0,1,0
11,"Your bank manager will not be impressed if you knock on his door halfway through the contract, begging for help.",m,0,1,0,0
12,"However, there are ways you can soothe the costs and help the bank manager sleep at night.",u,0,0,1,0
13,"After all you probably don''t want your bank manager seeing your medical records or your doctor seeing your bank account, or your local supermarket seeing either of them.",u,0,0,1,0
14,"In doing so he fulfilled the deathbed wish of his father, once a proud landowner, who died feeling disgraced at being unable to provide for his family after their savings were stolen by a bank manager.",u,0,0,1,0
15,When your day begins with the bank manager ringing you at 9.05 am.,u,0,0,1,0
16,You''ll be confident of your plans and financial projections and your bank manager will be inspired by your business acumen.,u,0,0,1,0
17,Go and talk to your bank manager.,u,0,0,1,0
18,"In fact it might be months before you discover you have been shooting with a local farmer, a bank manager, computer programmer, and a nurse.",u,0,0,1,0
19,"Your bank manager may also want to see the accounts, particularly if your bank account is overdrawn.",u,0,0,1,0
20,I wonder if my bank manager might consider the same argument?,u,0,0,1,0
21,""" Whelan told the local newspaper, the Daily Shister, ""I''ve spoken to my financial advisers and the bank manager at the Trustee Savings Bank, and we''ve agreed that the cost of the Games, which would have been a very welcome tax write-off will now go on fighting our legal dispute with Her Majesty''s Constabulary over unpaid policing bills at the JJB Stadium.",u,0,0,1,0
22,"Our society reinforces this addiction through ''education'', technology, the nine o''clock news, the bank manager, and through facts (questionable little things that they are).",u,0,0,1,0
23,"Be warned, though: some may require a visit to the bank manager . . .",u,0,0,1,0
24,She discussed complicated matters with the bank manager and solicitor.,u,0,0,1,0
25,"In a newish poem, The Rollover, he sympathises with a fired bank manager.",u,0,0,1,0
26,Then my bank manager called me one day.,u,0,0,1,0
27,Try to set up a meeting to explain your business plan to your bank manager.,u,0,0,1,0
28,"I went into town at lunchtime to speak to my bank manager, Nat West, in person about this shocking matter.",u,0,0,1,0
29,You might even be preparing for that dreaded meeting with the bank manager and need to take along a business plan.,u,0,0,1,0
30,"Obviously it starts with my parents and my family â€"" from there to all those who guided me towards a career which combines my main passions in life â€"" the law, and gadgets â€"" thanks are primarily due to the bank manager in NatWest Chancery Lane in 1979 who told a young pupil barrister to get a â€ ̃proper jobâ€TM.",u,0,0,1,0
31,"Friends, the bank manager or the Enterprise Agency will help, and don''t be afraid to negotiate the price.",u,0,0,1,0
