Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,"However, in the short time since this debate was granted, we have witnessed yet another tragedy--the death of the young athlete, Ross Baillie. ... The first and most important issue involves the catering industry--restaurants, cafes and take-aways.",m,0,1,0,0
2,Armchair Athlete - Online magazine dedicated to British athletes and athletics.,u,0,0,1,0
3,"John Hobermann explores the parallels of comparison that critics like Mailer was experiencing: . . . we see a fascination with the phenomenon of sheer physical struggle that can prompt the writer to confess his own shameful ineffectuality in comparison with the black athlete, who acts out the oppression of his people in real blood, sweat, and tears. 16 On reading this, one remembers the evening that Mailer went jogging with Ali.",u,0,0,1,0
4,It would be impossible to overhaul everything that an athlete does interms of nutrition and training.,u,0,0,1,0
5,"Upper School Master in Charge of Rugby , Barry Burgess said of Simon ""He''s an outstanding athlete who has all the qualities to go right to the top"".",m,0,1,0,0
6,"There is a need, prior to the next meeting to establish the athlete/club contribution to date for travel.",u,0,0,1,0
7,"What we don''t want, for the athlete, is a situation where there is a need to negotiate a change for the athlete at short notice - it''s much more manageable if things are planned well in advance,"" he added.",u,0,0,1,0
8,Athlete Eligibility Age The 2012 Scholarships will be targeted at 12 to 18 year olds.,u,0,0,1,0
9,"On that particular venture Derek and a team of his work colleagues from Hull Prison helped Jon Amos, an international wheelchair athlete, to reach the summit of 2949 ft Great Gable Mountain in the Lake District and in doing so raised not only some £4000 for charity but also an awareness of the limitless goals which can be achieved by people with a disability - this was endorsed afterwards with articles in not only the local press but two National Magazines and with video footage shown on Television.",m,0,1,0,0
10,"On receiving his scholarship 20 year-old Tom, from Swanland in East Yorkshire, said: ""I will invest my scholarship in resources that will enable me to develop further as an athlete, such as sports equipment and nutrition supplements.",m,0,1,0,0
11,"The abiding memory from here will be of Lewis''s victory in the 800 metres, of her running the most canny of races, tracking the leader, kicking ahead down the home straight and walking off the track while almost every athlete behind her collapsed at the finish, exhausted after a climax staged in temperatures close to 90F.",f,1,0,0,0
12,This doesn''t mean that the work is ''harder'' for the athlete but simply reflects the fact that the athlete has moved up to a higher plateau of neuromuscular performance.,u,0,0,1,0
13,Radcliffe''s real test goes far beyond the pain Published: 29 August 2004 After the double despair the big fear is that the damage to a great athlete might be irreparable The marathon messenger''s advice Paula ignored at her peril Published: 29 August 2004 It was not quite how it was in 490BC.,f,1,0,0,0
14,"He collected five gold medals, a silver and a bronze from eight events, becoming the highest medal winning Indian in the history of Commonwealth Games winning and picking up the David Dixon Award for the most outstanding athlete of the Games.",m,0,1,0,0
15,"The aim, as with today''s decathlon, was to find the best and toghest all-round athlete.",u,0,0,1,0
16,"""It''s a great opportunity to help them further their career and possibly be a better athlete than they would if they didn''t know this stuff.",u,0,0,1,0
17,The Stirling swimmer has twice overcome serious knee injuries and her fortitude finds her on the brink of realising the dream of any athlete - competing in the Olympics.,f,1,0,0,0
18,It is quite normal for the legs to be stronger than the upper body and arms and this may manifest itself in the athlete not swinging the body and or not being able to draw the handle into the body at the finish.,u,0,0,1,0
19,"Thu 10 Nov .., 19, 20 ! U & R is to open TWO new stores before Christmas ... Dulwich , opening on Saturday 19th November, will be run by the team that made the East Sheen shop great Huddersfield , opening on Saturday 3rd December, will be run by local athlete Martin Horbury Alfred Shrubb Exhibition From the Horsham page ... Sussex born Alfred Shrubb was arguably the greatest runner ever in the history of athletics.",m,0,1,0,0
20,"Ambrose Cardew was a remarkable soldier – having been top student at Sandhurst, winning the Sword of Honour and the prize for the Best Athlete, he was made Adjutant of the Regiment at the very early age of 17.",m,0,1,0,0
21,This raises the important issue of what speed to run these 5K sessions if the athlete has never raced the distance?,u,0,0,1,0
22,"He attended Dover Grammar School, where he was a keen athlete, and then went to a theological college run by the monastic Society of the Sacred Mission of Kelham in Nottinghamshire.",m,0,1,0,0
23,Ken Shamrock is a master fighter - an athlete - a competitor.,m,0,1,0,0
24,"To find out, the Danes studied a group of young athletes and found that if an athlete has Achilles tendons that are about 10% shorter than average, mechanical efficiency (economy) is hurt by about 6%.",u,0,0,1,0
25,"After a victory that represented the first by any Dutch athlete, the boy was photographed but no details of his name and age were taken down.",m,0,1,0,0
26,"Milo, theNestle milk drink, is named for the strong athlete who supported the roof of a collapsing building in which Pythagoras was teaching, enabling the proto-mathematician to escape.",m,0,1,0,0
27,He was the first British athlete to do so.,m,0,1,0,0
28,The now Windsor based athlete was the highest placed British male athlete in the IAAF World Championships in Helsinki with his 5th place in the 400m final and took a memorable victory over a world-class field including Olympic Champion Jeremy Wariner in the Norwich Union Super Grand Prix in London.,m,0,1,0,0
29,Place the athlete in appropriate training group.,u,0,0,1,0
30,"Critics such as Stuart Hall have mentioned the myth of the ''super-male black athlete'' as something to be admired, or even feared, and films such as White Men Can''t Jump (1992) have engaged with this notion.",m,0,1,0,0
31,"Athlete Responsibilities: It is every athlete''s personal responsibility: To acquaint him/herself, and to ensure that each Person from whom he/she takes advice (including medical personnel) is acquainted, with all of the provisions of these Rules; and To take responsibility for what he/she ingests and uses; and To ensure that any medical treatment he/she receives does not infringe these Rules.",u,0,0,1,0
32,Table of contents of the invaluable Coaching Science Abstracts shows a load of articles on the way this year about individual athlete parameters and testing.,u,0,0,1,0
33,"Alice drawn in lane started steadily and kept the opposition in her sights for the first 150m and then steadily changed up a gear and coming off the bend there were 2 athletes sprinting hard for the finish, Alice and an athlete from Chelmsford.",f,1,0,0,0
34,Philip Odell - Athletics Philip has been an active athlete and coach for over 30 years.,m,0,1,0,0
35,"Encourage and assist in goal setting (esp. process goals) Individualise training according to developmental needs of the athlete AUTHORITY: The nature and frequency of the decision making-process/leadership style; e.g. athlete involvement, setting and enforcement of rules Encourage athletes to be involved in decision-making Create opportunities for athletes to experience leadership Encourage athletes to take responsibility for their won development and self-management.",u,0,0,1,0
36,The appropriate training can improve the speed at which an athlete can run without appreciable amounts of lactate building up and the associated hydrogen ion affecting fatigue.,u,0,0,1,0
37,"To develop anaerobic fitness, an athlete would work very intensely, - running, swimming, cycling or rowing very fast - possibly above race-pace, before resting for a moderately long period, then repeating the exercise a number of times, for example 10x 30secs, with 90secs rest..",u,0,0,1,0
