Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,"Outcome Once the restaurant owner realised that he was in breach of the DDA , he agreed to pay compensation of £500, to change his policy on the admission of assistance dogs and to advertise that change in the restaurant window.",m,0,1,0,0
2,"No one would blame a restaurant owner for sacking a chef who was unable to deliver quality meals, but if you donâ€TMt adhere to the proper processes, the one-time employee has been furnished with a gold-embossed invitation to seek legal redress.",u,0,0,1,0
3,"One restaurant owner commented: ''We are practically fully-booked over the weekend, it has built up quite nicely.",u,0,0,1,0
4,"Spiros turns up with the news, she''s released, they need her for a job, but he reminds her of her position, with a reprise of Mrs Miller . In Cologne the four of them encounter a German restaurant owner, who claims not to be a Nazi.",u,0,0,1,0
5,"Whether you are an estate agent, property developer, restaurant owner, B&B proprietor etc. the likelyhood is that you already own a website.",u,0,0,1,0
6,"And so the testimony ran, much of it articulate, some unpolished, all of it heartfelt: housewives, a headmistress, shopkeepers, a restaurant owner, a Home Office adviser, a retired ambassador, a social worker, several unemployed, two Conservative councillors, doctors, three amenity society chairmen.",u,0,0,1,0
7,'' As the restaurant owner scribbled their orders Tin-Tin pointed to a trail of drowned coins that lay scattered around the fountain''s shallow pool like the spillage from a stricken Spanish galleon.,u,0,0,1,0
8,"Now into its third decade, the restaurant''s ''wonderful'' fish selection is another virtue: dishes such as Dorset crab salad, grilled halibut with hollandaise, & smoked haddock ''Parker Bowles'' (named after restaurant owner Simon) are never less than ''marvellous''.",m,0,1,0,0
9,"Quadrille, Stg 25.00 The well known Italian restaurant owner from Covent Garden has done himself proud with this book, that makes it a hard choice to choose from Marcella Hazan''s masterpiece.",m,0,1,0,0
10,"Twelve of 20 charges dropped against restaurant owner after he says moldy, bug-infested food was for his own use, not for patrons.",m,0,1,0,0
11,"He didn''t just build a supermarket; siting it in a larger commercial centre he rented out the land to Chinese banks, Chinese travel agencies, Chinese hairdressers, even a Chinese restaurant owner.",u,0,0,1,0
12,"Previously a restaurant owner, he was left with nothing and initially found accommodation with a housing association for ex-prisoners.",m,0,1,0,0
13,"after making a fraudulent claim for Housing Benefit 09/06/2006 Council Supports England Chairman of Epping Forest District Council Councillor Mrs Ann Haigh and Portfolio Holder for Finance, Performance Management and Corporate Support Services showed their support for England in the World Cup by raising the Flag of St George at the Civic Offices in Epping 09/06/2006 New Cabinet Meets The first meeting the new Cabinet took place at Epping Forest District Council on Monday 5 June 2006 08/06/2006 Council Prosecutes Noisy Restaurant A Thornwood public house and restaurant owner has pleaded guilty to the offence of breaching the terms of a Noise Abatement Notice served on him on 9 October 2003 06/06/2006 Councillors Quiz College Chiefs At the first meeting of the Overview and Scrutiny Committee following the recent elections, members of Epping Forest District Council welcomed Principal David Butler of Loughton College and Roger Neville the College Corporation Board Chairman to speak about the future of Epping Forest College 05/06/2006 Summer Artsmix Fun Epping Forest Arts, the arts section of Epping Forest District Council have announced their summer",m,0,1,0,0
14,"Film: The Crime of Father Amaro From CruxZine This film centres around an idealistic young Catholic priest (Father Amaro) who is placed in a diocese with several types of corruption on show: Father Benito helps drug barons launder money whilst sleeping with the local restaurant owner and condemning Father Amaro for his own affair; the Bishop condemns a liberation theologist, Father Natalio, in a mountain parish for fighting back against the drug barons Benito is so cosy with whilst letting the latter off for his misdemeanours (because Benito is securing money for the church and Natalio is just defending his people, natch).",u,0,0,1,0
15,""" Chinese restaurant owner/chef, aged over 50 In order to keep in touch with their culture, a number of older people interviewed in London regularly spent their leisure time visiting the Chinatowns.",u,0,0,1,0
16,"Taking a second category of examples, if a restaurant serving organic food could not source its ingredients from its usual farm because the farmer had lost organic status as a result of AP, the group understands that the restaurant owner or operator''s putative loss is insufficiently proximate to be recoverable either in the law as it stands nor, the group considers, would it be justified to seek to change the law to make it so.",u,0,0,1,0
17,"If your meal is spoilt by smoking, then write to the restaurant owner to complain.",u,0,0,1,0
18,"After some sycophantic gushing (mine), some reassuring pleasantries (his) and a protracted interruption from the (clearly delighted) restaurant owner, we got down to the matter in hand.",u,0,0,1,0
19,LAHMACUN Directors: Sahide Sanin & James Neil UK / dv / Drama / 12m A restaurant owner in London faces the dilemma of trying to run an authentic establishment and serving the needs of his western customers.,m,0,1,0,0
20,"From the music industry there is John Reid (Elton John''s former manager for 28 years, during which they made $245 million), Neil Tennant, the millionaire singer with the Pet Shop Boys and Mick Hucknall (singer with Simply Red, hotel, club and restaurant owner) whose personal wealth is more than £40 million.",m,0,1,0,0
21,"Please call Nicola Chalmers-Watson, SCAET Director, on 0131 335 0200 for more details or visit www.scaet.org.uk The Ayrshire Farmers'' Market is supporting the award winning local chef/restaurant owner,Brian Murphy of Fouters in Ayr ,in his bid to win the Thistle Award Flavour of Scotland.",m,0,1,0,0
22,One victim was a restaurant owner conned out of £6000.,u,0,0,1,0
23,"'' Stuart told the Observer: ""The first time I got the idea for a tumble fryer was when I was talking to my friend, and Chinese restaurant owner, Peter Chan.",m,0,1,0,0
