Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,"The only person I had talked to was the mechanic and he, naturally, was more interested in the injuries that the gearbox had inflicted than in me and my problems.",m,0,1,0,0
2,I''m afraid that this month''s weekend mechanic is going to be a bit sparser that usual.,u,0,0,1,0
3,"This particular pump was fitted by the owners son, a mechanic, who has fitted many of these pumps for other community members.",m,0,1,0,0
4,"Catherine Deneuve is Genevieve, the teenage assistant in her mother''s brolly shop in Cherbourg (a very rainy place indeed), who falls for Guy, a garage mechanic (Nino Castelnuoco).",m,0,1,0,0
5,Overjoyed was I to discover two prime contenders for the title this month. 1: The Craft buncha teenage girls play with dark forces of the kind you really shouldn''t mess with. 2: The Crow II - City of Angels undead car mechanic is the kind of dark force you really shouldn''t mess with.,u,0,0,1,0
6,"The evidence was that the Consultant remembered that the Claimant was training to be a mechanic, and he said that he remembered forming the impression that the Claimant would not be unduly held back in such a career by the revocation of his driving licence.",u,0,0,1,0
7,"Many worse are to be seen in Europe any day; and this was built, I am given to understand, without the aid of any professional mechanic, by the good father in charge and his flock.",u,0,0,1,0
8,"Malcolm Campbell, his neighbour, required a riding mechanic for his newly acquired 11/2 litre, 1 1/2 seater, straight eight GP Delage in the 1928 junior Grand Prix.",u,0,0,1,0
9,"The rest of the day was spent frustratingly awaiting the result of several hours of work by a mechanic, which culminated in him declaring that he couldn''t fix the empaquedora until Monday when the part shops would reopen.",u,0,0,1,0
10,"Each year representative samples of each type of weapon are returned to Pantex from the active forces and are disassembled, examined, tested, and analyzed for defects, much as you would go for an annual physical or take your car into your local automobile mechanic.",u,0,0,1,0
11,"To start things off, here are some links to useful sites that present RPG news & reviews: - EN World is a busy, delightful site packed to the brim with goodies about d20 games - D&D 3e and, to a lesser extent, any other game that uses the d20 mechanic.",d,0,0,0,1
12,"The mechanic for making these recommendations is a range of eight fabulous postcards, designed to get all age groups talking about books.",u,0,0,1,0
13,I have not tried other inks as my pen mechanic say to stay with the Mont Blanc ink.,d,0,0,0,1
14,The taxi driver left me where I was and I started looking for a mechanic.,u,0,0,1,0
15,"[ 14 ] These features make great marketing, but if and when they fail, the local mechanic cannot fix them, still less the owner.",u,0,0,1,0
16,""" exclaimed the loopy mechanic.",u,0,0,1,0
17,All in all the car spent five weeks in a Swiss workshop - I am completely useless as a mechanic.,u,0,0,1,0
18,"from The Ffestiniog Railway . We have been re-enacting some ancient church ceremonies for uniting two people of the same sex - see more about this on www.samesexunions.org.uk . And in December 2005 Roger and I registered our Civil Partnership - see more about this on on www.foxearth.demon.co.uk/ourpartnership/ I was brought up in Hastings, East Sussex, where my father, Ron, was a Police Officer for many years; he came to live with us in Purley in 2001, and died in June 2003 at the age of 90 . My brother Robert is a motor mechanic and lives with his family in Oklahoma City, USA.",m,0,1,0,0
19,"Features - Applies to ALL air-cooled-type Volkswagen Beetles, but does not cover MacPherson strut-type front suspension found on 1302 and 1303 models. - The first reference book devoted solely to Beetle chassis, suspension and braking systems. - Suitable for the home enthusiast as well as the more experienced mechanic. - Based on the successful ""How-To"" technical features developed by the author for Volksworld magazine. - Includes detailed coverage of the process for shortening the Beetle floorpan for kit-cars and dune buggies. - All the information is based on practical experience of specialist VW mechanics.",u,0,0,1,0
20,Your mechanic can do it for you although it is very easy and you could do it yourself as well.,u,0,0,1,0
21,"We also found a mechanic and workshop with a pillar drill, a 3-phase arc welder, gas welding facilities, lathe, and a good range of hand tools such as spanners, pullers and valve compressors.",u,0,0,1,0
22,I can''t find anybody else locally in ads in the Jag mags etc. Can anybody recommend a good mechanic in the Luton area - I can''t afford & have little faith in the main dealers.,u,0,0,1,0
23,"In this difficulty, being a skilled mechanic himself, he threw off his coat and set to work with the men.",m,0,1,0,0
24,"E (in car entertainment), £2000 worth of alloys, £350 worth of new tyres, new turbo which cost £1700 who are you to call my cars, you sad wa*ker. p155 off i own my own vehicle technical centre (in other words i am a mechanic) and i currently have a turnover of £120.000 a year. i am one of the leaders of a new political party get a life you sad person, what have i done to you. i think you are a complete wa*ker, and should not be allowed to use this forum, Stuart B, i hope your computer gets a killer virus.",u,0,0,1,0
25,"Didn''t we used to have a ""weekend mechanic"" section?",u,0,0,1,0
26,"Checking the prisoners, a guard notes with alarm that Fred''s locked cell is now occupied by 24-year-old motor mechanic Pete Dayton (Balthazar Getty).",m,0,1,0,0
27,"Car repair shops often can''t crack diagnostic code Monty Solomon <monty@roscom.com> Tue, 25 Jun 2002 01:32:16 -0400 At least a couple of times a week, mechanic Ernie Pride tells customers at his independent repair shop he can''t fix their cars because he doesn''t know what''s wrong with them.",m,0,1,0,0
28,"Sarah and George, a foundry mechanic and their four youngest children are still there in 1871.",m,0,1,0,0
29,"Jonathan, my mechanic looked the car over and said that we had got away lightly, the steering, suspension, gearbox and engine had not been damaged at all, which was lucky!",m,0,1,0,0
30,"He got in touch, and it turned out he used to drive this vehicle, and work on the ex-Nuvolari Alfa along with another mechanic during hillclimb and sprint meetings during the postwar years.",m,0,1,0,0
31,""" He says he is a trained car mechanic but he cannot get a job because he is Roma.",m,0,1,0,0
32,John our mechanic tried to fix a broken pedal for one of the kids which brought lots of smiles and good will.,m,0,1,0,0
33,I opted for self fitting because I have been a motorcycle mechanic up until 2000.,u,0,0,1,0
34,It is crucial to have both the right system for your car and to have it fitted by a mechanic trained both to LPGA standards.,u,0,0,1,0
35,My earliest memory of Steve was as faithful mechanic to the mercurial Chris Tyrrell.,m,0,1,0,0
36,"Still only 26, Costen is off to an impressive start, especially considering that she is in law school and Cepraga is a fulltime mechanic.",f,1,0,0,0
37,"Whilst I have a local mechanic in Ireland, James and Co. from Warrington Motorcycles have always been most helpful, giving him some advice and tips, and also sending parts to him very quickly.",u,0,0,1,0
38,He first started out as an apprentice radio and TV mechanic.,d,0,0,0,1
39,"The moral tussle you consistently undergo about who to work for is often expertly accomplished - and regardless of how hard you try to break the game''s underlying mechanic, there''s no way you can complete a mission and keep every faction happy.",d,0,0,0,1
