Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,"To those who answered 2 we suggested they gave the space cadet sessions a try, but that they should keep attending the main lecture course until they were confident which way to go.",u,0,0,1,0
2,"Although Baden-Powell did not form this cadet corps himself, and there is no evidence that he took much notice of them during the Siege, he was sufficiently impressed with both their courage and the equanimity with which they performed their tasks to use them later as an object lesson in the first chapter of Scouting for Boys.",m,0,1,0,0
3,"""On the *Hood,* during your cadet cruise, as a matter of fact.",u,0,0,1,0
4,"""Mine, sire,"" answered a trembling cadet.",u,0,0,1,0
5,He completed his basic training on the cadet ship HMS St Vincent and the Abyssinian campaign of 1867 gave him his first taste of action.,m,0,1,0,0
6,"Over recent years, the level of non-public funded expenditure required at unit and Wing level has resulted either in an increased proportion needing to be achieved by fund-raising, or by increasing cadet subscriptions to cover the difference.",u,0,0,1,0
7,"Just as cadet organizations and the Territorial Army are made up of normal Civilians, so is the OTC, only they have to be students in that Area.",u,0,0,1,0
8,""" In 1672 Newton was acquired by James Hamilton, who is supposed to have been a cadet of Silvertonhill.",m,0,1,0,0
9,"As if this wasn''t enough, he has also been named the best male cadet in the Central and East Region (out of approximately 8,000 other cadets) and has been nominated as the Region''s representative for the Dacre Sword – The award for the best male cadet in the Air Training Corps.",m,0,1,0,0
10,""" Then, on 9th July at Woodlands View Fisheries, near Droitwich, the juniors and cadet anglers representing Worksop AA put in remarkable team efforts to claim the gold medal in the junior team event and silver in the cadet age group in the NFA National Championships.",u,0,0,1,0
11,"Review: When NASA was exciting (5/5) Fantastic book for any ""space cadet"".",u,0,0,1,0
12,Hands hoyle poker taubman''s project is operation worth billion a cadet at.,u,0,0,1,0
13,Loran Kristian Ayre Sergeant Barber Link Baker Prodigy Carter tries to motivate rebellious young cadet Jennifer Hailey by taking her through the Stargate.,f,1,0,0,0
14,"So that it was thought some great man travelled privately for his pleasure from the little station that morning; whereas, in truth it was only I, Rudolf Rassendyll, an English gentleman, a cadet of a good house, but a man of no wealth nor position, nor of much rank.",m,0,1,0,0
15,By: shelby christine lyle Location: belliver/plymouth Added: 2005-06-07 20:29:42 i wanted to join the navy but i cant find a navy cadet place for me to go to.,u,0,0,1,0
16,"CADET RUDOLPH HAYES: It''s obvious, isn''t it?",m,0,1,0,0
17,"Enter the Club Championship and Varley during the Bisley Imperial Meeting (before the start of the Grand Aggregate) and put your scores on the board in the Clubhouse . President''s Cup and English Twenty Club Jewels Presidents Cup Awarded to the English Twenty Club member under 25 years of age placed highest in the Club Championship . NRA Bisley Schools'' Meeting Silver Jewel: awarded to the cadet whose scores in the Iveagh, Wellington and Ashburton together make the highest aggregate.",u,0,0,1,0
18,""" Then, on 9th July at Woodlands View Fisheries, near Droitwich, the juniors and cadet anglers representing Worksop AA put in remarkable team efforts to claim the gold medal in the junior team event and silver in the cadet age group in the NFA National Championships.",u,0,0,1,0
19,"Pollarded trees in Kibworth churchyard The Woodford family in this area appears to be a cadet branch of the family in Northamptonshire, principally from the village of Welford on the border with Leicestershire.",u,0,0,1,0
20,"In addition, every cadet will undertake at least one camp during School holidays.",u,0,0,1,0
21,"The energetic officer with an inimitable style reminded us that every cadet is required to take 2 semesters of foreign language before graduating, a model which could usefully be applied elsewhere!",u,0,0,1,0
