Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,"As a mechanical engineer and director of a small division of Thorn, I was committed to my job, worked 12 hours a day and felt completely involved with what was happening in the company.",u,0,0,1,0
2,Leslie Linder was an engineer whose interest in Beatrix Potter has provided a wealth of information on her life and works.,u,0,0,1,0
3,"A man once said to me: ""I want a world in which my son can become a doctor and my daughter an engineer,"" knowing that in his world that was completely out of the question.",f,1,0,0,0
4,"Following training in the machine tool industry and a period as numerical control programme engineer (Dean, Smith & Grace Ltd., in collaboration with IBM UK) he studied at the University of Leeds and graduated with BSc (Hons) in Control Engineering and was awarded a PhD for research on modelling the dynamic characteristics of neural receptors.",m,0,1,0,0
5,"You can then observe in real-time as the engineer moves the mouse cursor around, selects menu or folders and enters commands into the Server or PC while he is completing his fix.",m,0,1,0,0
6,"In the course of the hearing, Mr Thomas DRYDEN, consulting and practical engineer, Preston, was cross-examined by Mr HYDE, with regard to his statement that 288ft and 312ft of the Tower was corroded.",m,0,1,0,0
7,"Whether the engineer be named Jim, or Bob, or Tom, it is all one--his services are necessary, and he is entitled to such wage as he can get you to pay.",m,0,1,0,0
8,"De Broglie described himself as:- ... having much more the state of mind of a pure theoretician than that of an experimenter or engineer, loving especially the general and philosophical view ... . The central question in de Broglie''s life was whether the statistical nature of atomic physics reflects an ignorance of the underlying theory or whether statistics is all that can be known.",m,0,1,0,0
9,"If a serious structural problem is suspected or identified by the surveyor you may then need the advice of an engineer, again someone experienced in the sensitive structural repair of historic buildings.",u,0,0,1,0
10,Although it was a long time before I was officially designated an engineer from being a drawing office tracer.,u,0,0,1,0
11,"Norman Hyde worked for the old Triumph company from 1965 to 1975, where he worked as development engineer and was involved with projects like the OHC Trident, the Quadrant, the 350cc Bandit, the 900cc Thunderbird 3 (T180) and the Norton Commando 8-Valve, before setting up his own specialist parts business.",m,0,1,0,0
12,This little feature can save you a lot of panic and the callout fee for a stairlift engineer.,u,0,0,1,0
13,He returned to Australia and in 1985 joined Civil & Civic in Brisbane as a site engineer.,m,0,1,0,0
14,Richard Lee''s Funerary Helmet Sir Richard Lee was a military engineer who lived between 1513 and 1575.,m,0,1,0,0
15,If a fault appears with the printer they will send out an engineer to look at and replace parts.,u,0,0,1,0
16,"I am an officer of the British Service, an engineer at recent date attached to the Inspection of Aircraft Dept. (AID) in England.",u,0,0,1,0
17,"'' Edgar had no option but to reply that the chief maintenance engineer, a friend, had let him in.",u,0,0,1,0
18,"Starting with a wireless hop over a 120GHz microwave link, the network runs at 10Gb/s. Keiji Harada, senior research engineer and supervisor at the Lab, claims it can handle up to six multiplexed, uncompressed HD feeds at a time with no latency (delay).",m,0,1,0,0
19,"In 1874, the property was bought by the engineer Daniel Adamson and it was in the drawing room that the decision to construct the Manchester Ship Canal was made on 27 June 1882.",m,0,1,0,0
20,"Tim Richards spent much of his career as an engineer in the Far East, and when he returned to England it was with his lovely wife Anna.",m,0,1,0,0
21,"This is possible thanks to the help of Didier De Roos (the sound engineer of ''Uzed'' and ''Heatwave'' who truly caught onto the music of Univers Zero), who proposed to me to work in co-production on my future projects such as the current CD.",u,0,0,1,0
22,"Project team Architect: Shepheard Epstein Hunter Landscape Architect: Shepheard Epstein Hunter Structural Engineer: John Savage Associates Services engineer: GW Consulting Quantity surveyor: Faithful & Gould Main contractor: Buxton Planning Supervisor: Shepheard Epstein Hunter Project summary Location: London Completed: 2002 Client: London Borough of Lambeth (Lambeth Education) Design team: Architects: Shepheard Epstein Hunter Planning authority: London Borough of Lambeth Funding body: Department for Education & Skills London Borough of Lambeth Space for Sport & the Arts Department of Culture, Media & Sport Contract value: £4m Researched by: Info.be Further information Architect/Designer: Architects: Shepheard Epstein Hunter http://www.seh.co.uk",u,0,0,1,0
23,"So it is lucky that it never occurs to the engineer that once he has handed in the forms, once they have been checked and double-checked, Eddy will disregard the lot by taking half a tab of ecstasy from the very top of the scaffold.",m,0,1,0,0
24,"Milestones were erected to mark the route to Newquay from the Truro turnpike at Brighton Cross tollhouse on the London Road, built by famous road engineer John McAdam in 1829.",m,0,1,0,0
25,"Poccari tears himself away from her to be given a tour of the ""magnificent"" dam by chief engineer Mazza.",u,0,0,1,0
26,"In 1841, after completing his apprenticeship, Daniel Adamson qualified as both an engineer and draughtsman, and took up the post of Managing Draughtsman and Superintendent Engineer to the same company.",m,0,1,0,0
27,"Now this isnt the first time a Catalina has graced the Clyde, back in August 1991 one arrived at Glasgow airport and two vintage airmen met up with it,one a former flight engineer with the RAF who flew and maintained the Cats, but also another gentleman who was a former wireless operator in Hampden bombers.",m,0,1,0,0
28,"If every thing works out fine then they will contact us for engineer visit and we will book this and inform you as to the time and date of the visit, I will do my best to get this resolved as soon as I can"" 16. 5th July 2004, 13:36 - I email back with a ""Many thanks"" and proposed times for a BT engineer callout (to avoid wasted time as on the 5th of July itself). 17. 5th July 2004, 17:38 - NDO responds with confirmation that BT had (erroneously) ''cleared the fault log'' but that NDO have re-sent the fault report and requested that a BT engineer come out to replace the BT socket with a new plate, since the modem is not synchronizing. 18. 5th July 2004, 17:47 - I respond with more genuine thanks and request clarification about exactly what I need to do",u,0,0,1,0
29,"The project is to last approximately two months, and BABT has sent an experienced professional engineer team to get the project started.",u,0,0,1,0
30,"He was in considerable demand as a distinguished chemical engineer, but also for his expertise in such other fields as risk assessment and arbitration and his involvement with important national and international programmes.",m,0,1,0,0
31,"Though i am a scientist/engineer, i think this is all i thought about when i wrote my proposal(with hardly any guidance), and mine was accepted with no revision etc. I can also advise on the crossover stage from MPhil to PhD if required.",u,0,0,1,0
32,"Re: VW Bora stalling - Adam Going (Tune-Up Ltd) Mon 19 Mar 01 08:33 Ken, This certainly doesn''t sound like normal to me ! If your VAG dealer won''t sort it you should tell them that you are taking it to a diagnostic specialist (see your Yellow Pages under Car Engine Tuning) and that you will expect them to pick up the bill - that may put them into a helpful frame of mind ! They can call a factory engineer in if they can''t sort it themselves, but you should start putting things in writing and get their agreement before taking it elsewhere if the car is still under warranty.",u,0,0,1,0
33,"At school Gilliam excelled, he worked hard with dreams of becoming a scientist or engineer.",m,0,1,0,0
34,"An emotionally unstable nurse, (Crawford), marries her employer, but still passionately loves an engineer who she kills when he does not respond to her advances.",m,0,1,0,0
35,"The design engineer for the Drungewick Bridge Project is Halcrow Group Ltd, and Geoffrey Osborne Ltd of Chichester has been appointed construction contractor.",u,0,0,1,0
36,"Next Event is September 28, to book, please click here http://www.ceme.co.uk/secure/events/event_list.aspx A Career in Engineering There will be two speakers, the first will be an engineer from a large multinational manufacturing company who will talk about why they became and engineer and how they trained.",u,0,0,1,0
37,"About three o''clock on the morning of Wednesday, the 17th March, the engineer in charge of the large pumping engine at this colliery observed steam coming up the drawing shaft, and thinking something had happened, immediately called up his fellow engineer, and they at once sent off for the doggy and banksman, who immediately descended the shaft for the purpose of ascertaining what was the cause of the steam.",m,0,1,0,0
38,"We moved to Winston-Salem, North Carolina, USA, where my father went to work as an electrical engineer for R.J. Reynolds Tobacco Company.",m,0,1,0,0
39,"The network director, Bernie, was hauled over the coals by the head of department, but explained that as our man was an engineer he had no control over where he put his sources, and certainly couldn''t at 2100 check which button he was about to press.",m,0,1,0,0
40,"Thatâ€TMs what makes me confident about myself, to prove that I can be a better engineer in the future.",u,0,0,1,0
41,"John Loudon Macadam [ sic ], the famous road engineer, was born here in 1756.",m,0,1,0,0
42,"I get my trusty export, I put good quality heads on it, I stick some mics on it, I''m nice to the engineer and buy him a pint, hey presto!!!",m,0,1,0,0
43,"Both of these gentlemen afterwards published detailed histories of these works; but neither of them ignored the chief engineer, nor did they claim the exclusive merit of having been the successful erectors of these magnificent structures.",u,0,0,1,0
44,"The Itsy Bitsy Teeny Weeny Yellow Polka Dot Bikini made famous in the 1960s song, has changed little since it was first ''invented'' by French engineer Louis R?ard 60 years ago. more Culture: Do you really love Lennon? - At Baltic they are looking for serious John Lennon fans.",m,0,1,0,0
45,"Any software provided by Trouble for your use in connection with uploading Video Content remains our sole property and you may not copy, decompile, reverse engineer or otherwise use the software except for the purpose of uploading the Video Content.",d,0,0,0,1
46,"There was a man, I fancy some of you may never have heard of him, who was a great scientific physical chemist, nevertheless, and professor in this city - Black ; there was the great scientific engineer, Watt; there was the great philosopher, Hume; there was the great poet, Burns; and I had almost omitted one, not the least famous of the five - there was the great economist, Adam Smith.",m,0,1,0,0
47,"Years have rolled on since that happened, Time soothed the widow''s pain, One morning she met an engineer And the girl''s mother married again.",u,0,0,1,0
48,I''m a graduate Mech engineer and work as a cost engineer if that''s any use to you?,u,0,0,1,0
49,An engineer worked out how to add the power of laser light to Xerox copier technology.,u,0,0,1,0
50,Engineer is a logical game with pleasant country style music.,d,0,0,0,1
51,Find out more £16.50 Add to cart HOME RECORDING FOR MUSICIANS FOR DUMMIES This friendly guide covers the essentials a first-time recording engineer needs to know about setting up and operating a home or project recording studio....,u,0,0,1,0
52,Have the chief engineer start up the anchor windlass engine.,u,0,0,1,0
53,An engineer will then visit you to make sure that your heating appliance is operating correctly.,u,0,0,1,0
54,And you''re integrating the world of the engineer.,u,0,0,1,0
55,"Michael Schwartz is an engineer and a professional ski instructor, residing with his family in a quaint New England town north of Boston.",m,0,1,0,0
56,This will allow the user to connect and disconnect the units from one another without the need for a refrigeration engineer and can be handy when feeding the refrigerant lines through a wall or window before connecting to the condenser unit.,u,0,0,1,0
57,It will be the best thing you will ever have done. to hoogstraten by hw #1002560 of 3278 08 Feb 2003 04:57 PM Does that make me riffraff then as a telecoms engineer earning 36k and having to rent ever since I left the Royal Navy two years ago?,u,0,0,1,0
58,FSW used them to service a gas fire in the office and they did their job as and when they said they would with no unexpected surprises when the bill was presented. 07973 548264 Heating engineer Brendan Walsh is a Corgi-registered plumber and heating engineer who has been recommended by a handful of mums whose children attend the same school as his.,m,0,1,0,0
59,"He also claimed to himself be an engineer, with an [unspecified] PhD.",m,0,1,0,0
60,The expert engineer to gather the appropriate knowledge from the expert domain uses these techniques.,u,0,0,1,0
61,"He was a gentle vegetarian who loved animals and despised war, yet he worked as a military engineer to invent advanced and deadly weapons, mainly through the need to work.",m,0,1,0,0
62,"The TW clip is from Jumbo Records'' The Wonderful Radio London Story CD and the Marshall Mike extract is from RBL''s Sounds From The Seas cassette (duration 1 minute 47 seconds) From Dave Hawkins'' photo album (click to magnify): Left to right: Administrator Richard Swainson, engineer Dave Hawkins, Ed Stewart , Kenny Everett , engineer Russ Tollerfield, ship''s steward Mich, Mike Lennox , Tony Windsor and Captain Buninga celebrate Christmas 1966.",m,0,1,0,0
63,"Meanwhile, the early success of the Monmouthshire Canal was turning the small town of Newport, at the southern terminus of the route, into one of Britain''s busiest coal ports. 1798 With the Monmouthshire Canal completed and running successfully, Thomas Dadford junior became the full time chief engineer on the Brecknockshire & Abergavenny Canal.",m,0,1,0,0
64,"One engineer from Cosmos Software, the new division at SGI, said they''d probably be happy to let someone do the port of the new Cosmo Player 1.0 to Linux (although he wasn''t sure how to go about getting that done).",u,0,0,1,0
65,"Like that one, this volume was recorded by ace engineer TONY FAULKNER.",m,0,1,0,0
66,"(I must state that at the time I drank a lot of diet Coke.) My husband is an audio engineer and, therefore, into speakers big time.",m,0,1,0,0
67,"He aims to prove so on Thursday although Paddy, as chief heads engineer and Tony, as the consultant advisor to Paddy are keen to quash this growing competition.",m,0,1,0,0
68,"When he testified recently to a Senate Committee, Hamza was described as a nuclear engineer: a professional who works with nuclear reactors.",m,0,1,0,0
69,From Brunel to Wallace & Gromit: the public image of the British engineer 2006 is a year of many anniversaries.,m,0,1,0,0
70,"At present, from a pool of about 50 volunteers we have 5 who are over 60 years of age and who have retired from full time paid work, among them, a former office worker in a large MOT station, an engineer, and a primary school headmistress.",u,0,0,1,0
71,"Animation Graduate shortlisted for BBC Talent Final Mark Reeve is a finalist in the BBC3 New Animator category of this year''s New Talent awards for his short film Two Shoes . After 21 years working as an electronics engineer in the aerospace industry, Mark decided to change his career direction, and explore the more creative world of animation.",m,0,1,0,0
72,CAMILLA BRUETON Camilla joined Proboscis in November 2005 as part-time project assistant on Social Tapestries . Camilla is a practising artist and combines her role with Proboscis with that of Training Manager at SPACE Studios. current associates DIMITRIOS AIRANTZIS Dimitrios is an electronics engineer and is working woth Proboscis the creation of a new generation of feral robots with public authoring capabilities.,m,0,1,0,0
73,"India - When it comes to enrolment in schools, Muslims trail even SC-STs: Sachar panel Barring infant mortality and sex ratio, Muslims way behind others, even SC-STs, in social, health indices India - Did someone from STF engineer the attack on Parliament It seems strange, yet if we go by the version of Muhammad Afzal, the convict in the Parliament terrorist attack case....",d,0,0,0,1
74,"The courageous boy knew of the sailor''s plan, and it was not without anxiety that he awaited the result of the proposal being made to the engineer.",u,0,0,1,0
75,"YOU MAY BE AN ENGINEER ... If you introduce your wife as ""mylady@home.wife"" If your spouse sends you an e-mail instead of calling you to dinner If you can quote scenes from any Monty Python movie If you want an 8X CD-ROM for Christmas If Dilbert is your hero If you stare at an orange juice container because it says CONCENTRATE If you can name 6 Star Trek episodes If the only jokes you receive are through e-mail If your wrist watch has more computing power than a 486DX-50 If your idea of good interpersonal communication means getting the decimal point in the",u,0,0,1,0
76,Senior Instrument Engineer (Commissioning) Negotiable Aberdeen Cont 30-Jun-2006 00:00 Assist the Lead engineer in meeting project requirements and performing all technical duties in a highly competent and efficient manner.,u,0,0,1,0
77,"Iain Shepherd, a GE engineer who worked with the pupils there, commented on the pupils'' energy and enthusiasm.",m,0,1,0,0
78,"b. 1st January 1925, New York, U.S.A. d. 27th October 2002, Florida, U.S.A. Tom Dowd was a music producer and engineer, who was involved with some of the greatest singers in the latter part of the Twentieth Century.",m,0,1,0,0
79,"So, the solution- before Jim''s visit, John who is an engineer installed a sump with float switch and pump, which will activate whenever it rains and should keep the area dry.",m,0,1,0,0
80,This one day course will provide a pragmatic framework to risk management (encompassing structural risk and occupational health and safety risk) as it relates to the practising engineer.,u,0,0,1,0
81,"If he had been a engineer, socilogist or that kind - but he wasn ́t.",m,0,1,0,0
82,DLM is lead by engineer Roger Waller who worked under David Wardale in South Africa.,m,0,1,0,0
83,"He would hang around the studio and got to know everybody like [engineer] Terry Manning, and later when Alex kinda finished with the Box Tops, Terry produced an unissued album on Alex as a solo in 1970.",m,0,1,0,0
84,"Engineer who patented the fishplate, used for connecting rails.",u,0,0,1,0
85,"As one of them says: ""every time [some software engineer] says, ''nobody will go to the trouble of doing that,'' there''s some kid in Finland who will go to the trouble.",u,0,0,1,0
86,Selection of a w/c ratio gives the engineer control over two desirable properties: strength and workability.,u,0,0,1,0
87,"The civil engineer descended from his seat, and, to his amazement, he found the horse quivering, as if panic-stricken.",m,0,1,0,0
88,"Tuesday 25th February (taking my 2nd day off work in a row for this situation), and I got up at 07.00 to be ready for the engineer for 08.00.",u,0,0,1,0
89,"The combat, however, was initially inconclusive, but a little over an hour later U5+GW signalled ""Landing - Pancake Landing"" before plunging into the sea off the French coast taking with it Unteroffizier Siegfried Kukla, the pilot, Gefreiter Karl Küsters, the observer, Unteroffizier Karl Graf, the wireless operator, and Unteroffizier Hans Jansen, the flight engineer, the latter two being the only ones whose bodies were ever recovered.",m,0,1,0,0
90,"Adam, on one side, starts regarding Eve in a critical way that reminds the rigorousness of an engineer and ends warmly with the calm passion given by a lifetime of togetherness.",d,0,0,0,1
91,"He was born on 5 February 1840 baptised Dreghorn 18.2.1840 589/2, Fr 356 GLOVER, Thomas Blake (1838-1911) Industrialist and engineer . Decribed as the founding father of Japan''s economic miracle.",m,0,1,0,0
92,"Cedric Bell, a resident of Penrith, and a retired chief engineer of the Blue Funnel Line, has taken up the search.",m,0,1,0,0
93,"Matt works as a graduate trainee engineer on the Anglia contract based at Romford, Essex.",m,0,1,0,0
94,"There is a temptation on the part of the expert to wish to discuss the more unusual and difficult a reas that he or she deals with, whereas the primary purpose of the knowledge engineer is to concentrate on the central and often more mundane cases.",u,0,0,1,0
95,"You may not decompile, reverse engineer, disassemble, or otherwise reduce the Software to a human-perceivable form.",d,0,0,0,1
96,"Once this had been done, the engineer would ship the masters back to Berlin for processing and manufacture.",u,0,0,1,0
97,An electrical engineer will understand the concepts and why they might apply to equity and commodity markets and then can make any changes he/she sees fit with the code.,u,0,0,1,0
98,"Resnik, 36, electrical engineer; Mr Gregory Jarvis, 41, a Hughes Aircraft Co. engineer; and Mrs Sharon Christa McAuliffe, 37, a schoolteacher.",m,0,1,0,0
99,"We have immediate work so if you''re based in or around London and you''re a Mac engineer with good experience in the field call us now on 0870 742 1176 or email us . The MacAssist team at the MacExpo in London, 2002.",u,0,0,1,0
100,"Customer may not and may not allow others to modify, decompile, reverse engineer, decrypt, circumvent or otherwise interfere with or alter the website, Service or Consignment.",d,0,0,0,1
101,"One typical taxpayer, an ordinary retired engineer, said in a Times article that ''I haven''t a clue what I am doing.",u,0,0,1,0
102,"Finally, with the current Tyne Tees move to a server-based newsroom operation, we are losing the ''old'' types of employment grades (sound engineer, floor manager, MCR engineer etc), to be replaced by ''multi-skilled'' job descriptions.",u,0,0,1,0
103,"He lives on the Isle of Man, is a scrutineer for the TT and Manx GP races and has a collection of Ducati motorbikes (as well as a wife with an engineering degree and three sons of whom one is an ergonomist, one a student materials engineer and one doing his science A-levels!).",u,0,0,1,0
104,"(A former Albert engineer and his missus) Sqn Ldr Peter Scott (Retd) and Wg Cdr Odette Hardcastle < p.scott@bigfoot.com > Cambs, UK - Wednesday, February 02, 2005 at 15:04 I just wanted to express my sincere simpathy to the Royal Air Force and to present my deepest condolences to the families of the departed crewmen of the unfortunate C-130 and to their brothers in arms in Lyneham.",m,0,1,0,0
105,"You shall not reverse engineer, disassemble, decompile, reproduce, transcribe, store in a retrieval system, translate into any language or computer language, retransmit in any form or by any means (electronic, mechanical, photo reproduction, recordation or otherwise), resell or redistribute any of the Content without the prior written consent of Uncommon Knowledge Ltd, except that you may reproduce limited excerpts of the data for personal use, provided that each such copy contains a copyright notice as follows: COPYRIGHT 2000 Uncommon Knowledge Ltd www.clinical-depression.co.uk You may not sell or modify the",d,0,0,0,1
106,John Adeleke audio engineer & trainer If you have an axe to grind - or even something positive to say - contact,m,0,1,0,0
107,"Garrett, Helen - FOH sound engineer, rigging, monitors and tour managing if necessary (December 2004) questions by The Shend Recent Activity: Goldfrapp, Jamie Scott, Rhian Benson, Erland Øye.",f,1,0,0,0
