Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,""" Moments later, one worker accidentally drops a block of meat into a large bin filled with polythene from the floor and discarded wrapping.",u,0,0,1,0
2,"The farm worker bought the field and, with it, the treasure box.",u,0,0,1,0
3,"If coming to the Club for the first time: there is staff support available for e.g. being picked up, on the first few visits have someone accompany you for support – family, friend, support worker etc. Recent events: Fundraising Walk Weekly visits to Woodland Gardens Ten pin bowling Prize Bingo Trip to Theatre in London",u,0,0,1,0
4,All day Mr Darling had said that worker choice and business flexibility were at stake - and that extending working hours beyond 48 hours was now an option being used not just by Britain but by other countries too.,u,0,0,1,0
5,"The project provided a resource of computers and skill sharing with the support worker, to help groups to produce promotional material.",u,0,0,1,0
6,"We can see a public administration worker on 26 of the salary scale, now hardly reaching one million Bs, but a judge earns between 20 and 22 million Bs and a worker 407,000, a difference of 50 times.",u,0,0,1,0
7,It has seven different parts: â€¢ a basic element; â€¢ an element for couples and lone parents; â€¢ a 30 hour element; â€¢ a disabled worker element; â€¢ an enhanced disabled adult element; â€¢ an older workerâ€TMs (over 50) element; â€¢ and a childcare element (which depends on the number of children and the type of childcare).,u,0,0,1,0
8,"I asked myself: how long would it take an American worker to earn enough money to buy a car, versus the same figure for a Czech worker (and similarly for other items)?",u,0,0,1,0
9,"ENFORCEMENT If denied the entitlement to paid annual leave, a worker may complain to an Employment Tribunal, but as a first step an attempt should be made to settle a dispute with their employer by mutual agreement.",u,0,0,1,0
10,This is to enable both the worker and the client to check that the programme is suitable and to sign a contract.,u,0,0,1,0
11,"The other PCT members include a psychologist, a social worker, a ward manager supported by the patient'' s primary nurse and a representative from the rehabilitation service.",u,0,0,1,0
12,This was followed by periods as a social worker in Montana and Washington.,u,0,0,1,0
13,"On 3 September a process worker in MDF admitted deliberate falsification, and a second process worker said that he was aware falsification was taking place.",m,0,1,0,0
14,"Future Development The mentoring service is a new initiative, the mentoring project worker commenced employment in May and the new service will launch early summer 2006.",u,0,0,1,0
15,If this is not reasonable or would not alter the risk faced then; Step 2: Offer suitable alternative work if any is available; or if that is not feasible; Step 3: Give her paid leave for as long as is necessary to protect the health and safety of both the worker and her child.,f,1,0,0,0
16,"In reality it is my inability to establish an organisational, i.e. voluntary, precise, determinate relationship with another worker.",u,0,0,1,0
17,"We were contacted by Mrs. V Simpson, a field worker of The Lady Hoare Trust.",f,1,0,0,0
18,"A worker who on reasonable grounds suspects that she is not being paid the NMW can require her employer, on 14 days'' notice to produce those records.",f,1,0,0,0
19,"However, does statutory holiday entitlement accrue while a worker is on sick leave?",u,0,0,1,0
20,"It claims to be a normal trade union defending the interests of any British worker – but an investigation by anti-racism and fascism group Searchlight, has exposed it to be a front for the BNP.",u,0,0,1,0
21,"given) including a scale of fees, the circumstances in which rebates are payable and the scale of such rebates or, if it is the case, a statement that rebates are not payable; if allowed to charge a worker a fee for finding or seeking to find him or her employment, must, before providing this service, give the worker a clearly legible written statement detailing current terms of business; where proposing to charge a worker a fee for services other than job finding, must, before providing services, give the worker a clearly legible written statement detailing the service and the proposed charge; must not make the provision of job-finding services conditional upon the worker using other services for which the agent is not prevented by the Act from charging a fee.",u,0,0,1,0
22,"Additional services include a Drug Action Team worker, a YOT liaison worker, and a planned transitional worker facilitating the transition into adult services, and a post abuse worker.",u,0,0,1,0
23,"""Some of the participants, whose work is on the website, are starting to share their skills with others in the community, and helping to lead creative writing projects,"" says community worker Blair Denwette of Dundee City Council.",f,1,0,0,0
24,"[1] The normative frameworks that do exist for each imagined realm (public and private) cannot fully fit because of the crossover, and many contemporary domestic employers feel uncomfortable with the traditional concept of ''servant''. 1.2 Amongst a growing literature on paid domestic work, studies that concentrate on employers'' emotional management of sharing their homes with a domestic worker point to the existence of difficulties and tensions (from the employer''s viewpoint) associated with a number of issues.",u,0,0,1,0
25,"It is meant to protect employees from exploitation, whereby a worker could lose all or most of the benefit of the National Minimum Wage through high accommodation charges; the offset covers only the provision of accommodation, not meals or ''board''.",u,0,0,1,0
26,It was my drugs worker that introduced me to Amber.,u,0,0,1,0
27,"Basically, the Children''s Guardian is a super social worker who works independently of Social Services and whose function is to present to the Court what they think is in the children''s best interest.",u,0,0,1,0
28,"would negatively target that group (as did Gooden, 1999, in Nottingham), with the result that the overall impression given by the data was that ""the majority of Black people shunned the drugs which made you physically dependent"" (Carrington, 1993:7). 4.7.2 Ethnicity of staff Many of the studies that have asked members of Black and minority ethnic groups for their perception of drug services and/or the reasons that drug users from their communities do not use these services have resulted in comments that there is no worker there who is from the same ethnic group as themselves.",u,0,0,1,0
29,"Consequently, despite probable increases in recent years, households operating on a system of ''role reversal'', with the woman as the full time paid worker and breadwinner, and the man as the unpaid domestic worker in the home, remain very much a rarity.",m,0,1,0,0
30,"into my braille and learning it isnt actually as hard as people think, but each to their own i suppose? if i was good enough i would love to teach it too ... Right now i am looking at options but there is no career path as such, i originally studyed animal care and one of my dream jobs would of been to train the guide dogs but due to my eyesight this is not possible and well i have to be relistic even though it kills me. i am now thinking of being a rehab worker if possible so umm a few changes hehe but ah well life cannot be planned, just go with the flow and enhoy yourself take care Terri noams90 says...",u,0,0,1,0
31,"Tricky rescue of injured worker Monday, December 19, 2005 Firefighters from Bath were on the initial attendance to this incident after we were called to rescue a man who had been working on the roof of this three storey disused hospital.",m,0,1,0,0
32,Comrade Macnair observed that historically communists have sought to build links with both worker activists and with leftwing intellectuals.,u,0,0,1,0
33,"After having been blasted in the guestbook by an anonymous railway worker I hesitate to mention it, but BoS has a piece saying that commuters were left stranded by Thameslink.",u,0,0,1,0
34,"Safety tribunal win - but worker still loses his job An Industrial Tribunal has awarded a bus driver £10,500 after unanimously ruling that he was unfairly dismissed.",m,0,1,0,0
35,If you think you may need day services ask for a visit by a social worker who can give you an assessment of your needs.,u,0,0,1,0
36,Work permits are demand led by employers for specific vacancies they must demonstrate they cannot fill with a domestic worker.,u,0,0,1,0
37,The Inland Revenue tests contracts to determine which category of contractor the IT worker falls under.,u,0,0,1,0
38,"This presentation and discussion seeks to give participants an opportunity to review a VLE produced by a social worker to enhance learners awareness of racial issues, and lead into a discussion of the following questions: - Are VLE''s an opportunity, or the demise of practice led education?",u,0,0,1,0
39,Len Auckland spoke about upto 800 rooks counted going to roost near Staxton and exhibited examples of queen and worker bumble bee Bombus lapidarius together with the many mites found on their bodies.,d,0,0,0,1
40,"I thought that in this and future updates you may like to hear about a specific Portage worker and her children, so here goes.",f,1,0,0,0
41,"The Law To circumvent the vicarious liability problem, Counsel argued that, after the abuse had been committed, Dennis Grain was under a duty to self report his own abuse as part of his role as a care worker.",m,0,1,0,0
42,In 1977 the government announced a new community worker research project (CWRP) and a community education forum to meet new recommendations by ACCA that money should be made available to enable some community groups to employ a full-time worker and that money be made available for the education and support of these and other workers.,u,0,0,1,0
43,No one should use an autoclave unless they have received recent instruction in autoclave procedure or are working under the direct supervision of an experienced autoclave worker.,u,0,0,1,0
44,"How your money will be used • £10 will pay daily expenses of one volunteers, who will in turn deliver 7 hours of advice to a client. • £14 will pay for an hour of generalist advice. • £30 will pay for an outreach worker to visit an elderly client at home. • £45 will pay for one hour of specialist advice. • £90 will fund the direct costs for solving a housing problem. • £170 will enable us to advise throughout an average employment dispute. • £190 helps us to support a family in debt to avoid having their home repossessed. • £400 would allow us to start training an adviser to become a bureau manager. • £500 pays for a new leaflet to be distributed to recruit new volunteers • £",u,0,0,1,0
