Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,Among the people was an English sailor named Jackson.,u,0,0,1,0
2,"The all important individual decision as to which way up the first beat and then again which way up the second, had the effect of some considerable changes in sailor order between the first windward mark and the finish, but Phil Sparks once again demonstrated his superior skills and finished 28 seconds ahead of the next sailor.",m,0,1,0,0
3,"Boats one by one sailed into the loch and to the pier, bringing with them old women in clean white caps and tartan shawls, younger women in feathered hats and overskirts, men in bonnets and blue sailor cloth.",m,0,1,0,0
4,"She has grown up in the belief that the sailor to whom I made over her mother, and who is now dead, was her father, and her mother''s husband.",m,0,1,0,0
5,In 1968 Nino left Hong Kong to become a sailor and sailed around the world on a schooner until finally returning to Hong Kong.,u,0,0,1,0
6,"The Master Mariner A young Devon sailor, Matthew Lawe, is cursed after a spectacular act of cowardice to wander the wild waters till all the seas run dry.",m,0,1,0,0
7,"Derek Luke stars as Antwone, a young sailor in the Navy that has an explosive temper that gets him into trouble with his shipmates and superior officers.",m,0,1,0,0
8,'' [11] One of the occupational hazards that made general conditions much more uncomfortable than those of sailor was the after-effect of charging the battery.,u,0,0,1,0
9,The sailor on the boat pushed a soldier across the bridge and the sailor on the Arethusa would grab him to safety and so on.,u,0,0,1,0
10,"Top Suffolk, East England ANCHOR HOTEL Lowerstoft Suffolk One of the first reports of this building being haunted in recent years was that made during the last war by a sailor sleeping on a couch in the lounge.",u,0,0,1,0
11,"These pages include Binoculars for the birdwatcher, walker, sailor or anyone who enjoysCall Binoculars-Online Ltd Free on 0800 019 40 39 - for Binoculars and Telescopes Direct to Your like.",u,0,0,1,0
12,"Across the street from me, a large, white isosceles triangle-shaped sail had been ripped right in half by the wind, and a doll-sized sailor shimmied up the mast to reel in the pieces.",u,0,0,1,0
13,"This is aimed at the person who is already a reasonably competent sailor wanting a foundation in racing tactics and techniques. 5 Day Holiday Courses These non-certificate courses do not follow a set R.Y.A. syllabus, and students and instructor can work out the course content together.",u,0,0,1,0
14,The 1889 rushcart was so badly built that it fell to pieces but the landlord of the Commercial Inn formed a committee to oversee the building of the 1890 rushcart and employed a sailor named Tweedale to carry out the task.,u,0,0,1,0
15,"Almost frantically, like a shipwrecked sailor calling up a bottled genie, Geller strokes the fork, waiting for the miraculous to happen.",u,0,0,1,0
16,"Upon her arrival, she quickly established herself by shooting off the ear of an already one-eared drunken sailor who blocked her way when she disembarked.",u,0,0,1,0
17,"This will include about 50% on-water time, and has the following objectives: (1) To provide the each sailor with a complete list of modifications and improvements needed to bring his or her boat up to championship standard; (2) To demonstrate to the group coaches the standard of sailing of each sailor; (3) To bond the sailors in each group into a mutually supporting entity; (4) Undertake a limited assessment of fitness; (5) Introduce sailors to the format and ethics of squad training; (6) To introduce the sailors to sports science, weather and similar racing-related aspects of sailing. b.",u,0,0,1,0
18,"Wavre has also announced his co-skipper as Michèle Paret, the first female sailor confirmed for the race.",f,1,0,0,0
19,""" ""When it comes to that, you''ve no business to live under water,"" asserted the sailor.",u,0,0,1,0
20,"""It is such a fearful life that of a sailor, amid all the storms and perils of the deep.",u,0,0,1,0
