Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,"On the eve of a drawing the shareholders'' cashier to have an account of receipts from the lottery cashier, and the former to lock the safe with three keys, one of which to remain in his hands, one in the hands of the lottery cashier, and one in the hands of the manager of the lottery. 9.",u,0,0,1,0
2,"(Page 7 : 248 words) More . . . Brutal attack on forecourt cashier Published: 02 September, 2005 A young cashier was pistol-whipped and kicked during a brutal robbery at a forecourt in the London suburb of Croydon.",u,0,0,1,0
3,The cashier slammed the man''s fingers in the till drawer and he pushed her away as he made his escape.,u,0,0,1,0
4,"The cashier insisted on checking such a large a mount, and so a few minutes later the bank manager appeared to take a look.",u,0,0,1,0
5,"As a matter of courtesy, the office cashier should also be notified of the consolidation (if not previously aware of it).",u,0,0,1,0
6,"The cashier will then be able to access the money via the GIMPS network, and transfer it into the nominated account instantly: Sending account name: Gilbert Arnold Murray Account number: 74053275 Sort code: 21-38-19 Account holding bank: Bartletts Bank PLC, 14 Slocombe Street, Lincoln, Lincolnshire, UK GIMPS code: 23F-57T-674G Please let me know as soon as Mr Obialor has been able to collect the money.",u,0,0,1,0
7,"At the Post Office please obtain a ""Certificate of Posting"" from the cashier, which acts as your receipt, and you should allow seven to ten working days for delivery.",u,0,0,1,0
8,"(Evidence - survey 2002/03) You said ""''cashier'' sign on disabled position too low and in an awkward position"" We did Moved ''cashier'' sign to a higher position and also added disabled signand a button for customers to ring if they require assistance (Evidence - survey 2002/03) Revenues Services page navigation 1.",u,0,0,1,0
9,"But feel now that is my lot So I raise my lantern higher For it is all I got 0 Comments 01.07.2006 at 13:58 To quote a favorite author of mine... by: Valarie Mood: tired and hyper Listening to: Creep - radiohead "" Love seekth not it''s self to please, Nor for it''s self has any care But for another gives it''s ease And builds a heaven in hell''s despair"" - William Blake ""Heaven and Hell"" Ok, heres how Thursday night went: Being the only cashier (because Marie called in sick) was hell.",u,0,0,1,0
10,"(The cashier had recorded the dates of birth of X and Mrs B, the year of birth of X''s father, Mrs B''s date of marriage, the details of the clinic in which X had been born, the attending doctor''s name, and ''''vaccination completed'''' and ''''breast fed''''.) The passport officer said that he was at a loss as to why the application had not been accepted as the child appeared to have a claim.",u,0,0,1,0
11,"At a Bank Payment may be made at any bank, by completing the Bank Giro Credit slip that is attached to the invoice, and presenting this to a cashier with your payment.",u,0,0,1,0
12,"Having forged their signatures, he would then send the forms straight to the cashier.",u,0,0,1,0
13,If you have pressed this button the page will not go through to the cashier - the solution is to come out of the page and then re-enter it - it will work properly for you now.,u,0,0,1,0
14,"We wouldn''t come here to commit terrorism,"" said Abdul Tamimi, a gas station cashier who lives in Seattle.",m,0,1,0,0
15,""" Kenny, who went on to work as a part-time doorman and a cashier at the cinema, said that one of the reasons behind the success was the management style of Dougie Shearer.",m,0,1,0,0
16,"Real poets are rare, he confesses, While it''s easy to find a cashier.",u,0,0,1,0
17,"Harry. the youngest, will be remembered as a clerk and later cashier at Messrs. Harrison and Camms.",m,0,1,0,0
18,''''I have considered whether the cashier might have made a mistake on these occasions but have concluded that this is implausible.,u,0,0,1,0
19,"A cashier named Anton Defaux, who had discovered the loss, remembered seeing Hilary at the drawer shortly before the young man went out.",m,0,1,0,0
20,"While the cashier was ringing up her purchases, the drunk >calmly stated,""You must be single.",u,0,0,1,0
21,Cashier facing across the flow of goods is preferred.,u,0,0,1,0
22,About 15 minutes down the road I realised I hadn''t taken the money from the cashier.,u,0,0,1,0
23,The piece of paper was passed along to the next cashier who consulted more records.,u,0,0,1,0
24,The Cashier Put your cashier table near the entrance.,u,0,0,1,0
25,Key Duties: - Credit vetting and assessment of credit requirements and opening accounts - Obtaining external credit reports and customer credit status from credit agencies. - Assessing credit limits and obtaining insurance requirements for each customer account. - Credit processing of sales orders to a strict timescale. - Selection and action of overdue accounts requiring 7 day letters in line with current operating procedures. - Account debt monitoring of Customer account ledger. - Production of ad-hoc reports for customer and Department Manager. - Production of daily cash receipt sheet for cashier to check with the bank.,u,0,0,1,0
26,"While the cashier was ringing up her purchases, the drunk calmly stated ""You must be single.",u,0,0,1,0
27,""" The cashier leaned over the counter and said, ""Burrrr-Gerrrr Kinngg"".",u,0,0,1,0
28,"Security screens sound better value for money; if staff have faith in the strength of the screen, and robbers are not out to take hostages, if the cashier refuses to hand over anything, robbers felt they had little choice but to leave.",u,0,0,1,0
29,"Shoe department supervisor in Manchester, casual sales assistant and head cashier job in Brentwood plus a processing & replenishment manager in Brentwood Essex along with a Floor Supervisor vacancy.",u,0,0,1,0
30,"If they left a credit card in the morning, they can sign off and leave when they come back for their car without ever having to wait for a cashier.",u,0,0,1,0
31,pay register sim as care pet tortoise as career cartoonist as career communication consultant as career doctor as career driver train as career ent as career fighter fire as career fireman as career historian as career law as career librarian as career medicine as career modelling as career nurse as career nurse nursery as career nursing as career paramedic as career pharmacist as career pharmacy as career pilot as career police as career selling as career solicitor as career stuntman as career surveying as career tattooing as career teaching as carp fish pond as carpet garden liner pond using as cashier find as catwoman julie newmar as cd creator easy as cd educational player use using as cd go pay as cheap cheap go mobile pay phone as cheap cheap go mobile pay vodafone yo as cheap dirt mobile phone as cheap go mobile mobile pay phone t as cheap go mobile pay pho as cheap go mobile pay phone pink as cheap go mobile pay phone samsung virgin as cheap go mobile pay phone samsung z140v as cheap go mobile pay phone shop as cheap go mobile pay phone under as cheap go mobile pay pink as cheap go mobile,d,0,0,0,1
32,I called the cashier back.,u,0,0,1,0
33,"We decided that certain documents would not be scanned in (junk mail, office invoices (at the request of the cashier)), and where documents were voluminous the permission of the fee earner would be obtained.",u,0,0,1,0
34,"Arrange for cashier training (eg posture, scanning techniques, seat adjustability, reporting complaints).",u,0,0,1,0
35,"After graduating from Leeds University she joined the Victoria and Albert Museum, firstly working as a cashier in the canteen and then as a member of the Ceramics Department, which she left to become Museum Assistant at the Wallace Collection.",f,1,0,0,0
36,Discipline in practice - example 5 Ten pounds has gone missing from the company''s petty cash account and the firm''s cashier is suspected of taking the money.,u,0,0,1,0
37,"Sent By Michael Beck (and someone from the studio audience) ""Invent your own cross-breed"": How about crossing a casino cashier with a Dominican friar ... ""What could it do?",u,0,0,1,0
38,"I am not asking for a highly paid job, just a cashier position or something similar.",u,0,0,1,0
39,I went inside and waited for the cashier to key my gas fee into her register.,u,0,0,1,0
40,"Fry''s fame Bank of England''s chief cashier Merlyn Lowther said: ""This is the most secure five pound note we have ever produced.",m,0,1,0,0
41,Queuing to buy souvenirs at the State Historical Museum shop behind a Japanese lady who didn''t speak Russian and didn''t understand the cashier system of paying.,u,0,0,1,0
