Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,"GilbertValence (Michel Piccoli) is a theatre actor, his talent and lengthy career have secured him the greatest of roles.",m,0,1,0,0
2,"He is quick to admit that the rehearsal process, based as it was on the methodology that derives from all classes, played an indispensable role in his outstanding success as an actor and director - An eloquent example of a rigorous training in the classical repertoire and its importance in the theatre of the present day.",m,0,1,0,0
3,""" and David Lynch ""Mulholland Drive"" Best script No Man''s Land"" de Danis Tanovic Caméra d''or (best first film) ""Atanarjuat,the fast runner"" de Zacharias Kunuk Technical prize Tuu Duu-Chih, sound engineer for""Millenium Mambo"" and ""What time is it there ?"" Golden parm for short films ""Bean Cake"" David Greenspan Special Prize ""Daddy''s Girl"" Irvine Allan Jury''s prize ""Pizza Passionata"" de Kari Juusonen (Finland) IRELAND Two news brought to you by Showbiz Ireland * The Dublin actor and star of A Love Divided, Liam Cunningham has just landed his first big Hollywood role and is now set to follow in the footsteps of his two best friends Gabriel Byrne and Brendan Gleeson.",m,0,1,0,0
4,"There were not many routes to go, of course, you could be an outsider roped in by ''your'' party to be put up and get them in: so you had had an old screen actor - he didn''t even have to be a good one.",m,0,1,0,0
5,"The guests of honour announced so far include Warwick Davis (actor), Robin Askwith (actor), Richard Gordon (producer), Susan Gordon (actress), Brian Johnson (SFX guy), Christopher Neame (producer/writer/production manager, and no relation to the actor from ""Secret Army""), John Forbes Robertson (actor), Peter Graham Scott (producer/director/writer), Tony Tenser (producer) and Ruggero Deodato (director/actor/assistant director).",m,0,1,0,0
6,""" Morgan''s relationship with his on-screen dad is also going to be strained to start with but as the actor explains ""he comes to try and sort of save me in the jungle, so it sort of makes out relationship grow a whole lot more.",m,0,1,0,0
7,"New novel from the doyen of alienation BY BRIAN CHIKWAVA The title of the novel - Worm Head - announces that this is Bart Wolffe, actor, poet, and veteran Zimbabwean playwright.",m,0,1,0,0
8,"Richard Brestoff Inspired by the exploration of new working techniques in Stanislavski''s final book, Creating a Role, the author takes the working actor, the auditioning actor, or the aspiring actor to higher levels of performance.",u,0,0,1,0
9,"Except that a different actor takes part in Crouch''s play every night without having seen the script, not much can be revealed here without spoiling the effect.",u,0,0,1,0
10,"He was chosen by 26% of women respondents, ahead of Ross Kemp, alias Grant in Eastenders, Hollywood actor Keanu Reeves and comedians Lenny Henry and Angus Deyton.",m,0,1,0,0
11,"Lastly I like to think I am a good actor, my facial expressions can silence a room, my walk looks right and my attitude is very Royal.",u,0,0,1,0
12,"Most audiences moved by a Greek play today may be reacting to a strong central performance by a famous actor or an idea that they have witnessed a great text staged once again, but are they reacting to these plays on an emotive visceral level?",u,0,0,1,0
13,"Actor Ben Price, who plays Conrad Gates in the hit TV show Footballers'' Wives, has been approached to play Real Madrid star Beckham"".",m,0,1,0,0
