Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,You will also see Johnson credited as conductor for a number of recordings of film and TV music.,u,0,0,1,0
2,In all this was a concert whose contents attracted controversy and most certainly differing opinions galore but also admiration for this local orchestra and their conductor for taking on the challenge of uncharted territory and succeeding magnificently.,u,0,0,1,0
3,"In answer to a conductor who wrote that he was using Best''s edition of ''The Messiah'' and feared some trouble from critics when ''And peace on earth'' was sung forte instead of piano after giving sound reasons for his instruction, Best went on, ''Nothing is in worse taste than to attempt word- painting in music ''.",u,0,0,1,0
4,"During the test a high current (up to 25A) is passed through a circuit comprising the appliance earth conductor of the supply lead, the exposed metal on the appliance and the temporary test lead from the appliance tester.",d,0,0,0,1
5,"They certainly create quite an impression here with short sequences of music for Advent, ''Mother and Child'', Christmas, and a brand new semi-dramatic work The Dream of Herod composed by the conductor himself.",m,0,1,0,0
6,"In 1933, shortly after Hitler came to power, I lost my post as assistant conductor at the Berlin State Opera, along with other victims.",u,0,0,1,0
7,"The composer was extremely highly regarded as a conductor and his command is borne out by the outstanding integration, fine detail and rhythmic strength in this authoritative and dramatic performance.",u,0,0,1,0
8,"He argued any conductor should conduct from memory, even he had the score in front of him.",m,0,1,0,0
9,"I was put to live in Finchley, just next door to Finchley Garage, but I was sent to Potters Bar some six miles away and I worked there as a conductor for just under three years.",u,0,0,1,0
10,"Under a new (?) conductor, Alex Ingram, the orchestra made Prokofiev sound as menacing and thrilling as ever.",u,0,0,1,0
11,(The conductor stares at him.) Have you ever used a gun before?,u,0,0,1,0
12,"Add to this the trouble of keeping an insulated and elevated conductor sufficiently dry, and the danger [289] Mr BENNET''s Description, &c of it in a thunder-storm.",d,0,0,0,1
13,"The orchestra was founded three years ago, and is led and coached by local professional players - Peter Hanson (conductor), Marjory King, Rachael Maguire, Caroline Maguire and Katie Heller.",m,0,1,0,0
14,""" He pressed Whelen to repeat it, but funding for his Assistant Conductor post had run out, and Whelen was forced to secure a job as conductor of a London Theatre Orchestra . So Bournemouth gave the first and some of the last orchestral performances of Bax''s lifetime.",m,0,1,0,0
15,"Founded in 1991, primarily as a recording ensemble, the Cathedral Singers have produced nineteen compact disc recordings under the direction of conductor and composer Richard Proulx.",m,0,1,0,0
16,"Christian passes the conductor, yet when the camera angle changes, the conductor is nowhere to be seen.",u,0,0,1,0
17,"The highly praised Grado SR80 Headphones can be ordered securely direct from Mantra Audio Online Catalogue . Click below for technical data on other models Built on the same features as the SR-60, but utilises a 4 conductor connecting cable and larger ear cushions, the result of which gives a more open stage.",d,0,0,0,1
18,Railway conductor Zena Pashley took the reins while her driver partner turned passenger in a carriage contest to raise money for people with disabilities.,d,0,0,0,1
19,Broseley Brass Group of brass players working together to make music - under professional conductor.,u,0,0,1,0
20,"When the mathematicians saw the conductor they went to the loo, and when they heard knocking they handed in the ticket.",d,0,0,0,1
21,"Fortunately, the conductor knew my family, and wasn''t about to throw Butch off the bus, or charge us for his journeys.",d,0,0,0,1
22,Rimmer was a private man who disliked the limelight; a rare disposition for a conductor.,m,0,1,0,0
23,"Performed by Lontano -- Odaline de la Martinez (conductor) Andrew Sparling (clarinet) -- Tate Ensemble and Peter Sheppard Skaerved (violin) with Ensemble Bakhtar (traditional Afghan music) Metier Records MSV CD 92084 (2003) ""The Light Garden is an offering of the highest quality, with no compromise for popular taste...",f,1,0,0,0
24,"He told the conductor, ""Well, I didn''t spill my beer.",u,0,0,1,0
25,""" The Conductor said.",u,0,0,1,0
26,"Now, this wasn''t on the list, yet it had a conductor on board and was carrying passengers, and the 22 starts from Piccadilly Circus anyway....",d,0,0,0,1
27,"Tavistock, Devon St Eustachius Sun July 25 in 3 hours 10 minutes 5003 Grandsire Caters Composed by John Pladdys 1 Jim P East 2 Paul Pascoe 3 Ian VJ Smith 4 James Grant 5 Philip CW Mudge 6 John Pladdys 7 George E Mudge (C) 8 Andrew GJ Mudge 9 Robert DS Brown 10 Geoffrey C Hill FIRST QUARTERS Congratulations to Pat Munson, AN Kingsnorth, Chris Hellier, Jean Patch, Chris Gibbs and Paul Latham who have recently rung their first quarter peal and to John Rose who has recently rung his first as conductor.",m,0,1,0,0
28,I wish every member of the Youth Orchestra and their conductor Edward Gardner the best for the future.,m,0,1,0,0
29,The renowned conductor Jane Glover works with a current research student and a graduate of the department on Mozart''s Women while another of our research students brings to life the musical influences of Virginia Woolf.,f,1,0,0,0
30,"Return to top Call changes The next stage beyond ringing rounds is usually to learn to ring call changes, in which the conductor calls different pairs of bells to exchange places in the sequence of striking.",u,0,0,1,0
31,Conductor: Norman Hearn.,m,0,1,0,0
32,"Whenever an alternating electric current is applied to an electric conductor, the movement of the electricity inside the conductor creates electric and magnetic fields which propagate, or radiate outward, into the space around the conductor.",d,0,0,0,1
33,"This time he turned to New York, where he spent his last winters as conductor, first of the Metropolitan Opera and, from 1910, of the New York PO.",m,0,1,0,0
34,"As an organist, harpsichordist and conductor, he has travelled all over Europe, to America and to the Far East.",m,0,1,0,0
35,"He then became conductor, arranger and pianist of the travelling classical orchestra of the Royal Artillery.",m,0,1,0,0
36,"Force on a Conductor A conductor of length l carrying a current i at angle to a magnetic field of constant flux density B experiences a force F where B: Tesla (T) (Webers/m 2 ), i Amperes, l Metres Note that the force, current and flux are at right angles to each other.",d,0,0,0,1
37,During this period he was also able to gain the advice of conductor Bernard Haitink.,m,0,1,0,0
38,"As it was, when I finally stumbled aboard at 6AM, having waited at Redding station since 2AM, the conductor didn''t want my secret code.",d,0,0,0,1
39,"Directed by its new conductor Alison Wright, the orchestra will be performing Holst''s Somerset Rhapsody and Chopin''s Piano Concerto No.2 in F minor with soloist Mary Bruce.",f,1,0,0,0
40,"It calls up the absurd image of an enormous omnibus, packed inside with captive English ladies, with an Elder on the box, controlling his horses with the same patriarchal gravity as his wives, and another Elder as conductor callling out ""Higher up,"" with an exaulted and allegorical intonation.",u,0,0,1,0
41,"English dance that originate from Eastern England - which culminates in a workshop and performance with Pig Dyke Molly at this year''s Chance to Dance. 09 May 2006 DO YOU REMEMBER? : Sheffield people are being asked to remember their childhood memories this week, as part of a major hard-hitting ad campaign to remind people that some people''s childhood wasn''t as happy as it could have been. 09 May 2006 SHEFFIELD CULTURE STRATEGY EVENT : Richard Caborn, Minister for Sport, Sam West, Artistic Director of the Crucible Theatre and world-renowned musician and conductor Trevor Pinnock CBE will be the first to receive Sheffield''s new Culture and Sporting Strategy on 9 May at 5.30pm at DLA Piper, London.",m,0,1,0,0
42,"It''s true that the complexion of Mozart''s ravishing score is for the most part diaphanously feminine, and that was something that Hytner and his wonderfully sympathetic conductor, Ivan Fischer, together with the soft-grained colours of the Orchestra of the Age of Enlightenment, were keen to - and did - exploit.",m,0,1,0,0
43,"Joints shall be screwed or made with substantial mechanical clamps. 543-03-06 Where metal conduit is used as a protective conductor, its cross-sectional area shall be determined either by application of the formula of 543-01-03, or Table 54G. 546-02-05 Where a conduit is used as a protective conductor, its electrical continuity has to be assured, and has to be protected against mechanical, chemical or electrochemical deterioration. 543-02-05, 543-02-04 Where a conduit is used as the circuit protective conductor for more than one circuit, it shall be sized either by; 1) calculation,using the formula 543-01-03 and the most onerous value of fault current and disconnection time encountered in each of the various circuits, or 2) selected by using Table 54G, with the cross-sectional area of the largest cable enclosed in the conduit. 543-01-02 When conduit",d,0,0,0,1
44,In 1986 he joined EMI Records as a literary editor and since April 1990 has combined his work as a consultant editor for EMI Classics with his career as a freelance conductor.,m,0,1,0,0
45,"Essentially the same as a QFP except low-profile, that is, thinner. trace (track) Segment of a route . See conductor . transmission line A conductor that is configured to have a specific impedance value.",d,0,0,0,1
46,"Our marvellous musical director/conductor has been forced to move on, so we need someone to help us develop further our already wide repertoire.",u,0,0,1,0
