Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,She has also been known to operate the dumb waiter that used to stand in the pub - this is a little eerie as the dumb waitier was ripped out of the pub several years ago.,d,0,0,0,1
2,"Chef, cleaning, bar staff and waiter vacancies in Penzance, St. Ives and Dorchester.",u,0,0,1,0
3,The waiter shook his head.,m,0,1,0,0
4,"In a restaurant, the waiter says - ""I''m Joe, do you want to order?",m,0,1,0,0
5,"The head waiter seated me silently -another solitary diner - whilst I regarded him like a silent movie starfrom films I had once loved, uttering hushed admiring thankyous to themenu, the cutlery, the glass of red wine.",m,0,1,0,0
6,I was a head waiter at one pound a week for many years.,u,0,0,1,0
7,"Good night, Mr Craven,'' said the old waiter, hurrying after them as they went out.",u,0,0,1,0
8,"A waiter, newly arrived from the Ticino, tells the story of a little boy, Luigi Derighetti, who was stolen from his village, years ago.",u,0,0,1,0
9,"Mix up with our breakfast in the morning, the waiter gave it to a couple who were only just sitting down and then we had to argue to get one!",u,0,0,1,0
10,"The waiter arrives, and John Maxwell, who controls the diverse groups of programmers working for Mastertronic, asks if there''s anything special on the menu.",u,0,0,1,0
11,The wine waiter was pushing be to look at his Bordeaux list.,m,0,1,0,0
12,(The handsome who waiter who unfolds a strached linen serviette a metre square and lays it on your lap is a good sign.) They now do a 2 course menu at 19.95.,u,0,0,1,0
13,"Evidently the profession of waiter did not intrigue him, for in 19OO he received a five-months'' sentence for thievery and in 1902 he was sentenced to eight months in jail for the same reason.",m,0,1,0,0
14,At one stage I summoned a waiter over.,u,0,0,1,0
15,"Jessica Gerger (Gemma), Sarah McGlade (Maddie) and Andy Leonard, who does a fabulous portrayal of Italian waiter Gio, complete the list.",m,0,1,0,0
16,The other monologue which he actually brooadcast was in exactly a similar vein[ About an argument over the bill for the Last Supper between Jesus and a waiter ].,u,0,0,1,0
17,"THE SUDDEN DEATH AT ASHTON Adjourned Inquiry The adjourned inquiry into the cause of death of Mary Ann KIELEY, wife of Edward KIELEY, waiter, Crompton''s Yard, off Pitt-street, Ashton, was held on Thursday afternoon, at the Nelson Tavern.",m,0,1,0,0
18,"Oh yeah, and the waiter''s been brutaly beaten.",u,0,0,1,0
19,"Our waiter was Italian and, as the Italian team had already been knocked out, he was in demand for Thursday''s shift and kept us updated on the England game throughout the meal.",m,0,1,0,0
20,"Signals and processes When a process dies, its parent is sent a SIGCHLD . So one way of avoiding zombies is to install a signal handler that waits for the children as and when they die: /* this first line is needed on some systems to get POSIX behaviour */ #define _INCLUDE_POSIX_SOURCE #include <stdlib.h> #include <signal.h> #include <sys/wait.h> void waiter(int dummy) { int st; while (wait3(&st, WNOHANG, NULL) > 0); } int main(int argc, char *argv[]){ struct sigaction act; act.sa_handler=waiter; sigaction (SIGCHLD, &act, NULL) ; ... } You also should make sure that when the parent exits, it wait s for any children which have not yet finished.",d,0,0,0,1
21,"Live Crew Our waiter kept adding crushed ice to the wine bucket, which was a nice touch.",u,0,0,1,0
22,"The advice is: When the waiter asks if you want a portion of chips to share, say yes.",u,0,0,1,0
23,"La Tasca is committed to recruiting and developing the best people, from chef to waiter, bartender to manager.",u,0,0,1,0
24,"When you are looking for that ""something different"" for your events you won''t find better than professional actor Rodney Paulden and his merry band who go under the name of ADHOC Actors . You want a Spanish waiter e.g. Manuel or Frankie Swankeroony the Las Vegas night club owner or even members from the Rocky Horror Show.",m,0,1,0,0
25,Upon our arrival Monica organised us a waiter for an outside table and told us to ring her when we were finished so that she could return and collect us.,u,0,0,1,0
26,"We chose a Greek restaurant named Entelia which means ''perfection'' according to our waiter, a young Bristolian called Stephen who could easily pass for a Greek.",m,0,1,0,0
27,"This absinthe, drunk in Spain on a works outing, caused 55 year-old Bernadette to jump onto the table and dance lewdly with the waiter, pulling his dark head into her flouncy dress and corkscrewing his nose into her fragrant inner folds.",m,0,1,0,0
28,"Fleeting flirtations with a beautiful boy on the Brooklyn Subway, with the dishy waiter in a Village café (''Your Café con Leche Hands''), or with guys seen at the Met or at the gym are the background to a dreamy fantasy world which is both honest and erotic.",u,0,0,1,0
29,"In his maroon blazer, instinctively striking a series of classic waiter poses, bookie''s pen behind the ear, our solicitous but silent service today is to the Ritz waiter what the ragged threadbare blue hand towel over his arm is to an immaculate napkin.",m,0,1,0,0
30,"After dinner I trifled agreeably with my brandy-and-water till it was near seven o''clock, when I paid my bill, thought of the waiter and did not forget Father Boots.",u,0,0,1,0
31,"So we tried not to lay down our forks, but we did forget, and by golly, the waiter took the plate away.",u,0,0,1,0
32,"I ordered up lemons and a bottle of rum, and after having the fifty remaining oysters opened I sent the waiter away.",u,0,0,1,0
33,"You may work in a retail store, or as a bartender, waiter, kitchen helper, waiter''s assistant, hostess, or amusement park attendant, for example. 4.",u,0,0,1,0
34,The waiter tried to kill sh0ckwave by dropping knives all over his part of the table.,u,0,0,1,0
35,"Many actors especially around Covent Garden play the role of waiter, and very good they are at portraying the kind of waiter we''d prefer not to see that often.",u,0,0,1,0
36,Call the waiter and ask for a 20 percent reduction on the bill.,u,0,0,1,0
37,"Especially, after the service had been so poor and waiter (one in particular) was so, so rude and dismissive it made myself and my partner very uncomfortable indeed.",u,0,0,1,0
38,And then some waiter steals it...,u,0,0,1,0
39,"Examples are as follows:- where an essential nature of the job requires a man or a woman because of their physiology, for example, for modelling clothes or for a dramatic performance. where for reasons of decency or privacy it is necessary to employ a person from a particular sex, for example, a woman for the position of a ladies changing room attendant. in a restaurant it may be necessary to employ a person of a particular racial group for authenticity reasons, for example, for a job as a waiter in a Chinese restaurant.",u,0,0,1,0
40,A teenager was stabbed in the middle of a West England restaurant by a knifeman who also knocked over a heroic waiter who gave chase.,u,0,0,1,0
41,"Think like an aristocrat or waiter: place is simply your station in society, or perhaps your setting at dinner.",u,0,0,1,0
42,"There was a waiter, hovering, like some preying bird and he just turned - didn''t even click - and waved the empty bottle, as if he expected him to peck it from his fingers.",m,0,1,0,0
43,"Grace''s old boyfriend comes to visit and asks her to join him and his girlfriend in a threesome. 07 - Gypsies, Tramp and Weed Grace gives Will a gift certificate to a psychic for his birthday, and during the birthday dinner she also gets a waiter fired.",u,0,0,1,0
