Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,"looking for about a year now, but it still made me cry. muppet. wednesday saw a **** of a day where the boss decided to be a knob and upset just about everyone. we called in his boss and when he found out, he was so furious he went home in a huff. today is friday and i''m not exactly sorry to say that the boss still isn''t speaking to me and to my knowledge he hasn''t talked to anyone in two days. so tell me, how can this captain of industry be happy with his behaviour when he acts like a fucking child? moron. ah well, that''s it now. i''m just counting the days til he goes. the sad thing is that he''s a really nice guy irl. he''s just a knob at communicating with his staff. tomorrow is a busy day for me. i''m off to some animal sanctuary for their annual open day to have a look around and help out and then in the evening i''m off for a party for a",d,0,0,0,1
2,"A pilot, plane captain, or qualified brake rider will man the cockpit.",u,0,0,1,0
3,Astbury captain Dave Roberts won a special prize for the ''Longest Drive'' after arriving more than an hour late for his tee-time at Morgado after setting out first.,m,0,1,0,0
4,"They have particular privileges in this town and a jurisdiction by which they can try, condemn, and execute in especial cases without waiting for a warrant from above; and this they exerted once very smartly in executing a captain of one of the king''s ships of war in the reign of King Charles II. for a murder committed in the street, the circumstance of which did indeed call for justice; but some thought they would not have ventured to exert their powers as they did.",u,0,0,1,0
5,"And as, upon the squadrons engaging, it is not to be expected that the ships withdrawn out of the line can see or distinguish signals at such a juncture, it is therefore strictly enjoined and required of such captain or captains, who shall have their signal or signals made to withdraw out of the line, to demean themselves as a corps de reserve to the main squadron, and to place themselves in the best situation for giving relief to any ship of the squadron that may be disabled or hardest pressed by the enemy, having in the first place regard to the ship I shall have my flag on board, as where the honour of his majesty''s flag is principally concerned.",u,0,0,1,0
6,"I thought if we could launch ships and have our own black captain and officers of our race, too, we would be respected in the mercantile and commercial world, thereby adding appreciative dignity to our down-trodden people.",u,0,0,1,0
7,"Johnny was immediately made captain, a position he held for nearly five years, and scored the winning goal of the game on his debut, but even his seven goals in 12 games could not keep Palace out of the new basement division.",m,0,1,0,0
8,That was not the case and as the month of August got underway the news came that Thomas was to be our new club captain.,m,0,1,0,0
9,Not only does it list Graham Wagg but it also has Michael Powell as captain!,m,0,1,0,0
10,"""Slacken speed,"" said the captain.",u,0,0,1,0
11,The captain has been left frustrated on the sidelines for much of the campaign and has only completed 90 minutes on 7 occassions this season.,d,0,0,0,1
12,Are dropped captain and covered porch curious visitor to the park is.,u,0,0,1,0
13,"Our captain finds it anarchic and bewildering: just when he''s getting to know the rules of the game, they change the rules... or the game... or tell him he can''t play any more.",m,0,1,0,0
14,"Nijir-sig , the captain of my barge, holds the golden sceptre for me.",m,0,1,0,0
15,We can reveal that former Wales rugby captain Mike Hall and ex-City director Paul Guy have played key roles in landing the most important deal in the club''s history.,d,0,0,0,1
16,"At school he was a Junior Prefect, was awarded the School Colours and as well as being captain of Buckland House he was also captain of the School 1st XI football, 1st XV rugby, 1st XI cricket teams and the Inter-School Athletic Team in 1936.",d,0,0,0,1
17,"In his office, Commander Traynor is having his wounded hand bandaged by Frank under the watchful eye (and gun) of the German captain.",u,0,0,1,0
18,Rescue men understand that the captain of the team is in supreme command and they always obey his ruling in all circumstances.,m,0,1,0,0
19,"Hilton found little opportunity in that match against Sussex, but the critics praised his fielding and his captain J A Fallows gave him a good report.",d,0,0,0,1
20,"One seduced the captain, prowling round him, trailing fingers over his chest before kissing him.",m,0,1,0,0
21,They were gestulating and making signs to our captain to steer the boat around a small wreck that lay in the entrance to a small harbour.,u,0,0,1,0
22,That''s why he''s captain.,m,0,1,0,0
23,To these the captain turned.,u,0,0,1,0
24,David was captain of Heriot''s for two seasons from 1959 – 1961 and President of the club for a further two seasons from 1976 until 1978 after which he was elected as an Honorary Vice President.,d,0,0,0,1
25,"One Wednesday I was walking home at mid-day when our house captain (Buckland house) overtook me and said ""West - you are in the House Gymnastic Display Team this afternoon.",d,0,0,0,1
26,""" The captain was charmed, and said: ""Well, sir, we''re thankful for a compliment yet, though they''re not as scarce now as they used to be before we made a reputation.",u,0,0,1,0
27,"With his dying breath the Orc captain Sharku cackles to Theoden, Legolas and Gimli, ''he''s dead, took a little tumble off the cliff''.",d,0,0,0,1
28,"They instantly get into an arguement with Bart, the stuck up rich white captain of the crew (can you see where this is going) who tells Jamal to forget about rowing because "" I train all year round for three seasons to make number one in single sculls "".",m,0,1,0,0
29,"According to the Arundelian Marble he was made their captain or king about 63 years before Cadmus brought letters into Europe, & Theseus was contemporary to the Argonauts, being the predecessor of Menestheus who went to the war of Troy.",m,0,1,0,0
30,"Mould as captain and vice captain, Mr S.",m,0,1,0,0
31,"The last female race of the day was the Women''s Senior Eight which was well fought once again, but York pulled it through to win, with team captain Becky James quoting, ''A really good race, we had two complete novices in our team who have only been rowing since October and January, and I am especially proud of them along with the rest of the team; it went really well.",f,1,0,0,0
32,But teams may agree on a different venue if they wish.) Kevin Clark (Herts Open match captain) comments on the proposed change to the Minor Counties rules.,d,0,0,0,1
33,"Taking over from David Bugge as captain, an unenviable role after the success of the early 1980s, Wilkie often did not have the comfort of having several more than capable batsmen in the side.",d,0,0,0,1
34,"I have Gallas, Gerrard, Duff, Lampard and Baros and I reckon I''ll go for Duff as my captain.",u,0,0,1,0
35,Paula holds a First Class Honours BA European Studies (Loughborough) 1996 She has been the Great Britain women''s athletics team captain since 1998.,d,0,0,0,1
36,"After the war, despite being at the veteran stage, he made an outstanding wing half and captain for the club.",d,0,0,0,1
37,""" The move will come as a disappointment for Colin Lee who will have find a replacement and seek out a new captain for the side.",d,0,0,0,1
38,"Nigel Martyn does his best to hold up the Geordie captain, and when he finally works space for a shot, it is cleared on the line by a retreating James Beattie.",d,0,0,0,1
39,"Thursday 23rd October 1945 Embarked in the Empress of Scotland (27,000 tons) and had an excellent two-berth cabin on A deck, which I shared with a captain in the RCN.",u,0,0,1,0
40,"Minutes later, it was again Bennett to the rescue when Emley captain, Steve Nicholson, looked certain to break the deadlock.",m,0,1,0,0
41,"The captain sent me an affectionate message, to say that if I did not come, he would send a file of marines to bring me: he even came himself and threatened me; when, finding there were no witnesses in the room, I plainly told him that if he persisted in having me on board, it would be to his own destruction, for that I was fully determined to bring him to a court-martial for drunkenness and unofficerlike conduct, the moment we joined the admiral.",m,0,1,0,0
42,"Through being the Second''s team captain it has developed my leadership skills, which has helped me to motivate my team coach them to develop their skills.",d,0,0,0,1
43,They played the remix of the for an angel mix really bassy but phat had the classics including searchin for my rizla mixed up with nu skool breaks and finished off with captain off the ship!!,u,0,0,1,0
44,She felt sorry for the captain who no longer had his own lavatory.,m,0,1,0,0
45,Midfielder David Livermore is suspended while captain Kevin Muscat faces a late fitness test because of an achilles problem that has left the defender out of sorts.,d,0,0,0,1
46,"Her captain, Black Sam Bellamy, and 143 others died with her.",m,0,1,0,0
47,"Plus''s reply I am the captain of a softball team And a right good captain too, I''ve no doubt.",d,0,0,0,1
48,"The captain and officer commanding was Mr. Whitehouse; in 1915 the other captain was a recent arrival named Mr. Owen Jones, the lieutenants were Messrs. Slater and Pearce while the sergeant-major was Mr. Paddy Pascall, the school''s P.T. Instructor.",m,0,1,0,0
49,"U.S. captain Hal Sutton had predictably packed the upper half of his last-day singles order with his best players but could only watch as the Europeans, more cohesive as a team all week, resisted the early onslaught.",d,0,0,0,1
50,"Tim also proved himself as a very professional airline captain on Nov. 1st 1997 when, with 114 people on board, deteriorating weather and strong crosswinds, he successfully landed his Airbus A340 at London''s Heathrow Airport with its left wheels locked in the up position.",m,0,1,0,0
51,Dr Farallon Ellen Bry Transporter Engineer Kelso J Downing Chain Of Command (Part 1) Stardate 46357.4: Picard is ordered to stand down as captain.,m,0,1,0,0
52,"Doctor Who Forum @ unitnews.co.uk > Doctor Who on TV > Torchwood Forum > Series Discussion > Captain jack figure Log in View Full Version : Captain jack figure Dalek Emperor 17-04-2006, 16:29 who will be buying the captain jack figure which comes out in june?",m,0,1,0,0
53,""" ""Perhaps,"" began the passenger, as if he were about to offer some good-natured excuse for the man''s awkwardness, but his observations were drowned by a louder clatter below than ever; and, ere the captain could descend to ascertain the cause, the new steward rushed up the companion ladder, with his eyes half-starting from his head, his hair standing on end, and his face pale with terror.",u,0,0,1,0
54,"The former Jamaica captain returned to his homeland to play for Tivoli Gardens, where his form has suffered due to a succession of injuries.",d,0,0,0,1
55,Birthday Beats Harlequins captain Mark McLinden is halted by the challenge of skilful prop forward Danny Sculthorpe.,d,0,0,0,1
56,"It''s a like a captaincy roundabout . . .Whitworth hands over the Union reins as he will serve as vice-captain of his club at Bradley Hall from next month, stepping up as captain in 2007, while at the same time Mear will take on the Union role on ending his tenure as club captain at Meltham.",d,0,0,0,1
57,I rate Trescothick as a batter but hes a rubbish captain and bowler.,d,0,0,0,1
58,"Ray Illingworth, a fine England captain, wrote a book a few years before but that was about it.",d,0,0,0,1
59,"""I am here for the challenge and the excitement of the Premier League,"" said the Ukraine captain.",d,0,0,0,1
60,"They answer''d, deliver our minister; the captain damn''d them a little, and march''d on: The Cameronian called to him again with a threatning air-Will you deliver our minister? at which he reply''d as loud-No, you dog, and if you were to be damn''d; at which the man fir''d immediately, and shot him thro'' the heart, so that he fell from his horse, and never spoke a word, and the frighted horse, fluttering a little at the fall of his rider, fell down the precipice, and there was an",m,0,1,0,0
61,"Sutton 29, has previously played first-class cricket for Somerset and Derbyshire, the last two seasons as captain.",d,0,0,0,1
62,"Their star player and captain Mbulelo Mabizela can''t even get a regular game at Spurs, I believe these factors alone will see Morocco edge them in the group stage.",d,0,0,0,1
63,"Dan shall be Ahiezer the son of Ammishaddai. 2:26 And his host, and those that were numbered of them, were threescore and two thousand and seven hundred. 2:27 And those that encamp by him shall be the tribe of Asher: and the captain of the children of Asher shall be Pagiel the son of Ocran. 2:28 And his host, and those that were numbered of them, were forty and one thousand and five hundred. 2:29 Then the tribe of Naphtali: and the captain of the children of Naphtali shall be Ahira the son of Enan. 2:30 And his host, and those that were numbered of them, were fifty and three thousand and four hundred. 2:31 All they that were numbered in the camp of Dan were an hundred thousand and fifty and seven thousand and six hundred.",m,0,1,0,0
64,"Other notable players who will come readily to the minds of their own generations were F H X Gwynne and J C Seager, both Barbarians and captains of Blackheath; P J Lawless, captain of Richmond and a well-known Rugby correspondent of his day; J S Moll, who toured the Argentine with a British team in 1936; and outstanding schoolboy players such as R A V Berthed and Nigel Read of the 1920''s.",d,0,0,0,1
65,"But the loss of captain Steve Chartrand, sent off during the second period, convinced the away fans that officialdom was conniving against them once again.",d,0,0,0,1
66,"He reports that his father, Neil, is still active in Nonington cricket club though no longer as player and captain.",d,0,0,0,1
67,Captain: I am the Captain of the Temple Guard.,u,0,0,1,0
68,"Captain of England''s Under-21s, the midfielder''s decision to commit himself to West Ham until 2010 represents ""a statement of intent"" from both player and club, according to Pardew.",d,0,0,0,1
69,"Hughes here is obviously writing with sincerity in praise of a very memorable Head, describing him as a ''captain..for a boys'' army'' (note the militaristic imagery) who would ''fight the fight out to the last gasp''.",m,0,1,0,0
70,"It was a tactic which invited fleet-footed midfielders to support their captain in attack, and so Alexander Hleb and José Antonio Reyes did in breaking to create the game''s first attack on 15 minutes.",d,0,0,0,1
71,McCoy shook his head and injected the captain with a sedative.,u,0,0,1,0
72,"Goals were scored by Marriott (6), Reeve-Tucker (2), Hacking, Jeremy Ellis and, gloriously, Max Lawson, the captain, but all played their part in an historic win.",d,0,0,0,1
73,"The troops services were accepted by Queen Victoria in November 1862 and Fairman, commissioned as captain, took the very first parade at the Railway Inn on 27 December that same year.",u,0,0,1,0
74,"But as the narrative unfolded (and as Mike Gatting, the last England captain to hold the Ashes, eloquently put it yesterday, it has been like a great book that you never want to put down) it really has proved to be irresistible.",d,0,0,0,1
75,But it wasn''t until I had tossed up with the Namibia captain and returned to the changing room that I found out.,d,0,0,0,1
76,"As Watson''s plane approaches Long Island, the captain informs passengers of the news.",u,0,0,1,0
77,"Following morning at training, Sven goes right up to his captain to thank him for last night.",m,0,1,0,0
78,"If his gait is halting and uncertain, if his arms are unsteady, if his eye is not clear and true, if he is lacking in confidence, he will not be able to do his best for the captain of his salvation.",m,0,1,0,0
79,"Pressley and Romanov hoping to settle selection controversy Published: 09 February 2006 The Hearts captain, Steven Pressley, will head a delegation of players at a meeting in the next two days with the club''s millionaire Lithuanian owner, Vladimir Romanov, in an attempt to resolve the selection controversy besetting the club.",d,0,0,0,1
80,The captain takes them back to the site but Sweeney is unconcious and cannot respond to radio signals.,u,0,0,1,0
81,"Their problems were added to, when a crude tackle by the Army captain on Stuart Boddy resulted in him picking up a red card.",u,0,0,1,0
82,"A British Naval officer, Lieutenant Mee, claimed that he was told by a Swedish captain that there were fifteen merchant ships laden with iron ore in Lulea ""but not daring to sail until Germany provided some sort of convoy system.",u,0,0,1,0
83,"Ralph Dawes as Max Halliday, the third point of the triangle, also acquits himself well, and John Robinson, making only his second appearance for the company, convinces as captain Legate, the hired murderer who gets a taste of his own medicine.",m,0,1,0,0
84,A hurricane forces a captain and his mate to seek shelter on the island where they find that they have to fight for survival with the scientist and his assistants.,m,0,1,0,0
85,"Their captain reminded them that they would have ""three dozen each"" if they refused duty, after which ""they got a little better"" and were able prepare the vessel for the reception of the troops.",u,0,0,1,0
86,""" repeated the captain, with scorn on his upper lip, ""who did you get that from?",m,0,1,0,0
87,"Article continues When Lee Clark touched a short free-kick to Shearer, the fact that the Newcastle captain had barely had possession, in keeping with his and the club''s beginning to the season, disappeared into history as Shearer struck a genuinely unstoppable drive into Brad Friedel''s bottom corner.",d,0,0,0,1
88,I see one of my jobs as captain as bending the ears of the selectors at every possible opportunity about our players.,d,0,0,0,1
89,Apparently there is a pecking order for the wives and girlfriends and Posh is top of the pile because she''s married to the team captain.,d,0,0,0,1
90,"At least beckham has now resigned as captain, so at least he can be dropped.",d,0,0,0,1
91,"Email: AmyHamilton@shaw.ca ARAD certified, dance captain for RCCL, award winning choreographer Mark Dillon Salas, Philippines.",d,0,0,0,1
92,CAPTAIN: What type of camera was it?,u,0,0,1,0
