Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,"Whether it be a Lebanese minister, a Saudi journalist, a Jordanian bank clerk or an Egyptian resident, the response is always the same: Mr bin Laden''s voice, repeatedly beamed into millions of homes, articulates the demands and grievances and fury of Middle East Muslims who have seen their pro-Western presidents and kings and princes wriggling out of any serious criticism of the Anglo-American bombardment of Afghanistan.",u,0,0,1,0
2,"By the time of the 1881 Census, Esther was at Stanwix, Carlisle with her son Jacob, now a bank clerk and married with four children - William, Thomas, Arthur and Henry.",m,0,1,0,0
3,The suspicious bank clerk called the Greater Manchester Police and the man was arrested on suspicion of criminal deception.,u,0,0,1,0
4,"GEORGE WALTON, 1867 - 1933 Son of a painter, Walton initially worked as a bank clerk and attended evening art classes.",m,0,1,0,0
5,"Trish left school at 15 years and worked in several jobs, i.e. bank clerk, shop assistant, works-cashier and insurance collection.",f,1,0,0,0
6,The deficiency was briefly remedied in 1969 when former bank clerk Richard Williams fooled the Government into endorsing his Welsh pound notes this daring escapade was short lived but has created a collectors market for the extremely rare notes; ranging from the 1 Punt note to the very useful 1 million Punt note!,m,0,1,0,0
7,"Many of these houses had live-in servants and most were headed by people employed in professional and managerial occupations including serveral earthenware manufacturers, an insurance agent, bank clerk and a curate.",u,0,0,1,0
8,"The charges to which Kynoch had pleaded guilty were that he had, (1) from a garage in Strichen, Aberdeenshire, stolen a motor car; (2) in a garage in Kinneff, Kincardineshire, forced open a lockfast petrol pump and stolen five gallons of petrol; and (3) on April 18, in the Commercial Bank of Scotland, Denny, assaulted Ian Young, bank accountant, and James Ferguson, bank clerk, presented at them a loaded shotgun, threatened to shoot them, and stolen £1290 and a key.",m,0,1,0,0
9,"Years of full-time work don''t count for redundancy Barry v Midland Bank Plc, Times Law Report, 25 October 1996, EAT A Woman bank clerk has failed in an equal pay claim over the calculation of contractual redundancy pay.",f,1,0,0,0
10,"Suburban bank clerk John (Ben Chaplin) is looking for love in all the wrong places: specifically, on a website that offers Russian mail order brides.",m,0,1,0,0
11,Stanley Ipkiss is a bank clerk that is an incredibly nice man.,m,0,1,0,0
12,Was a bank clerk.,u,0,0,1,0
13,"The charges to which Kynoch had pleaded guilty were that he had, (1) from a garage in Strichen, Aberdeenshire, stolen a motor car; (2) in a garage in Kinneff, Kincardineshire, forced open a lockfast petrol pump and stolen five gallons of petrol; and (3) on April 18, in the Commercial Bank of Scotland, Denny, assaulted Ian Young, bank accountant, and James Ferguson, bank clerk, presented at them a loaded shotgun, threatened to shoot them, and stolen £1290 and a key.",m,0,1,0,0
14,"When I complained to the manager, she said that they had done a survey amongst their customers who had overwhelmingly agreed that piped music alleviates the boredom of standing in line and makes them feel less anxious about the anticipated consultation with the bank clerk.",u,0,0,1,0
15,"Grant, Personal Memoirs The criminal may of course use some short-term act of violence to ''terrorize'' his victim, such as waving a gun in the face of a bank clerk during a robbery in order to ensure the clerk''s expeditious compliance. -- Bruce Hoffman, Inside Terrorism Posted by Kwintessential at 7:08 PM Categories: Expand Your Vocabulary",u,0,0,1,0
16,The female bank clerk claimed she did not understand the note and asked him to tell her what he wanted.,f,1,0,0,0
17,"At the age of 10, Hugh was working in the mill but he then went to school before working as a bank clerk.",m,0,1,0,0
18,"For disparate they truly are, socially and geographically, we have the settlers who are making a last gasp to save themselves financially, there is the Northern bank clerk who has moved here for his health, there is the Boer hunter and a couple who have eloped to escape social embarrassment at home.",m,0,1,0,0
19,"His next screen role was as Vint Glade in MAN TO MAN , a bank clerk who attempts to frame a robbery on a romantic rival.",m,0,1,0,0
20,The suspicious bank clerk called the Greater Manchester Police and the man was arrested on suspicion of criminal deception.,m,0,1,0,0
21,"Singer Addison is now an art student, Michael a bank clerk and the others are still at school.",m,0,1,0,0
22,"In them, a bank clerk from London, Mr Tompkins, enters strange worlds in a series of dreams where he can experience the realities of relativity, quantum physics and more at close hand.",m,0,1,0,0
23,"We know bank clerk Wodehouse saw a slice of play on that memorable day, rushing from Lombard Street to The Oval, seeing three England wickets fall for ten runs, rain interrupt play, and then required to race back to the City, in full expectation of defeat for his team.",u,0,0,1,0
24,"The private detective assumes whatever ""official"" identity is necessary to mislead the bank clerk or government employee.",u,0,0,1,0
25,"In this scene from Chapter Three (""The New Era Begins"") of Psmith in the City , Mike Jackson , (A), arrived in London and prepared to begin his new career as a bank clerk by renting from a pantomime dame landlady a deplorable but inexpensive furnished apartment on Acacia Road, Dulwich . 3.",m,0,1,0,0
26,It is a big step from there to assume that our bank clerk could usually beat a much larger and rougher gentleman who also was without formal training.,m,0,1,0,0
27,"From what I could tell, it was due to a slight overreaction by a highly trained bank clerk when computer said, ''no'' to his new bank card.",u,0,0,1,0
28,A commercial bank went bankrupt due to the embezzlement of a huge amount of money by a bank clerk whose brother had huge gambling debts.,u,0,0,1,0
29,"In Una Vita this causes a series of devastating effects on the level of the histories : The Novel tells the story of a bank clerk, Alfonso Nitti, in the flourishing city of Trieste at the end of the 19 th century.",m,0,1,0,0
30,"At the age of 10, Hugh was working in the mill but he then went to school before working as a bank clerk.",m,0,1,0,0
31,He looked more like a bank clerk than a folk singer but his humour was sharp.,d,0,0,0,1
32,"The only person who realises the problem is his bank clerk girlfriend (played by Minnie Driver in a badly-made blond wig), who becomes increasingly frustrated by his unreliability and lack of attention.",f,1,0,0,0
33,Harry Louis said he had just heard of a young bank clerk around Birmingham who was thinking of starting a club for Hondas.,u,0,0,1,0
34,Lavender Hill Mob 77-mins WH978 £9.99 The 1951 comedy starring Alec Guiness as a timid bank clerk who with Stanley Holloway has the perfect scheme for stealing gold bullion from the bank.,m,0,1,0,0
35,"The son of a shoemaker and a bank clerk, he was born in Vienna in 1920 and began musical studies at the Vienna Hochschule with Berta Jahn-Bear.",m,0,1,0,0
36,"They became bus-conductor''s, ticket-collector''s, post-women, bank clerk''s, driver''s, farm-labourer''s and munitions maker.",u,0,0,1,0
37,"By Malcolm Fitzwilliams If you think you''ve got a rotten job, wait till you read this book Published: 12 September 2004 His CV lists weed-sprayer, bank clerk, box-stacker, washer-upper, hay-baler, kitchen porter, pallet-maker and, most depressingly, turkey-beheader.",m,0,1,0,0
38,"Ben Chaplin is okay as John, though his overnight transformation from bank clerk to criminal simply doesn''t convince.",m,0,1,0,0
39,The dialogue between my dear lady and the bank clerk went something like this: Why do I have to receive my cards at the branch?,u,0,0,1,0
40,"The position of a bank clerk, with £150 a year, and free to leave the bank between 4 and 5, seemed to me to come near the zenith of human felicity.",u,0,0,1,0
41,"In the same way, acting fireworks when you are supposed to be playing a boring bank clerk raise expression of self above expression of the drama - to the obvious detriment of the latter.",u,0,0,1,0
42,"Only very recently, in February this year, two identity fraudsters got confidential information about comedian Harry Hill, 41, from a bank clerk and used it to set up an internet account in his name.",u,0,0,1,0
43,A bank clerk would call such communities Savings Banks!,u,0,0,1,0
44,"If an English bank clerk quietly takes in money for an American group called Kill A Brit For Ireland Inc., maybe he is assisting in the commission of a crime.",m,0,1,0,0
