Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,"Click the reinforcement button with the squad selected, and in a few seconds a new soldier will spawn as part of that unit: suddenly having a bunch of new gun-wielding maniacs pop into existence mid-battle can at times dramatically swing the result.",d,0,0,0,1
2,"Article Index Government Sends More Troops to Sierra Leone According to news agency reports, over 100 soldiers from the 1st Battalion Parachute Regiment have been sent to West Africa yesterday, September 5, in what was described as a ""precautionary measure"" in the continuing efforts to free six British and one Sierra Leonean soldier who were taken hostage in Sierra Leone nearly two weeks ago.",u,0,0,1,0
3,But the personal experience of one World War I German soldier may have helped prevent the battlefield use of poison gas in World War II.,u,0,0,1,0
4,"Escorted to the nearest point that is visible to the public, young Orcadian Alistair Amer, flanked by a New York police officer and an American soldier, prepares to place flowers at Ground Zero in New York.",u,0,0,1,0
5,"The letter was signed by ""Commanding Officer Keerthi"" of the Veediya Bandara Brigade (named after a Sri Lankan soldier who fought the Portuguese colonial rulers).",u,0,0,1,0
6,But for the dead common soldier it was more of a sanitary operation and the location of the grave was largely soon forgotten.,u,0,0,1,0
7,'' The episode shot from the point of view of a wounded soldier.,u,0,0,1,0
8,"Brother, Sister: Indigenous, worker, farmer, teacher, student, homemaker, driver, fisher, cab driver, office worker, employee, street vendor, gang, unemployed, journalist, religious, homosexual, lesbian, transexual, artist, militant intellectual, activist, marine, soldier, athlete, legislator, bureaucrat, man, woman, child, youth, senior.",u,0,0,1,0
9,The first principle of any warfare and any soldier is to look out for the enemy.,u,0,0,1,0
10,A fifth soldier is killed in Hebron. 6/8/03 Nigeria Numan 1 0 Female Christian pastor stabbed to death by a radical Muslim as she was returning home from work (2003). 6/8/03 Afghanistan Kabul 5 11 Suicide bombing attack against a bus carrying international peacekeepers kills four Germans and injures at least a dozen more.,u,0,0,1,0
11,Andrew showed me one stone; he told me this was a wounded soldier because it only had one leg.,u,0,0,1,0
12,I gave them each archetypal male/female professions – soldier and nurse – simply because that''s what I was trying to write about: the male/female dynamic.,m,0,1,0,0
13,I wonder if you could supply me with any websites or list of old comrades or information for an old soldier who served in the 86 Medium Regiment Royal Artillery.,u,0,0,1,0
14,"""There is no party or list in the elections that I will support,"" said a former soldier in his mid-30s who called himself Mohammed Sarhan.",m,0,1,0,0
15,""" Two things, if you''re going to be a good soldier you know what the commander told you to do and you do it, right?",u,0,0,1,0
16,"Maintaining a fully trained Home Guard, calculated one Commander, cost the nation no more than one-fortieth of the amount needed to support an ordinary soldier, even in peace time, for the Home Guard received no pay, and when not on duty, fed, housed and clothed himself.",u,0,0,1,0
17,"The head protectors Whilst the trench itself usually provided a good deal of protection for the torso and legs of the soldier against projectiles, the head of the occupant remained very vulnerable indeed.",u,0,0,1,0
18,"He suffers the hardships of being drilled as a soldier, a doctor abuses him for medical experiments.",m,0,1,0,0
19,"""They talk--and they do,"" said the soldier.",u,0,0,1,0
20,"[ More, in German ] Questions and answers: What happened to the German soldier with the gun ? Who was he?",m,0,1,0,0
21,"An Italian naval lieutenant put the fuel dumps in Naples to the torch–""thus possibly sealing the fate of every German soldier in southern Italy,"" observed Richthofen.",u,0,0,1,0
22,"Retired General Sir Anthony Farrar-Hockley, who opposes our campaign, justifies the executions on a contradictory and questionable assumption that it was right to shoot one soldier in order to save others on the basis it served as an example.",u,0,0,1,0
23,"As Jake Carpenter, a newly enlisted soldier in the Mantel army, you are seeking fulfillment and thrills by fighting for a good cause.",m,0,1,0,0
