Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,The first officer to respond will be required to obtain as much information concerning the missing person as possible.,u,0,0,1,0
2,He is the chief finance officer and company secretary of Aston-Mansfield.,d,0,0,0,1
3,"On the deck of the little cutter all was in that well-known apple-pie order customary on board a man-of-war, for so Lieutenant Lipscombe in command always took care to call it, and in this he was diligently echoed by the young gentleman who acted as his first officer, and, truth to say, second and third officer as well, for he was the only one--to wit, Hilary Leigh, midshipman, lately drafted to this duty, to his great disgust, from on board the dashing frigate Golden Fleece . ""Man-o''-war!",m,0,1,0,0
4,Also his future career as an intelligence officer should have been severely affected.,m,0,1,0,0
5,"No officer is ever to enter into my house again, nor even to pass through the village.",u,0,0,1,0
6,"This was established through careful research, a meeting with the Defence Estates (DE) case officer and the Valuation Office (who had been employed on earlier releases).",u,0,0,1,0
7,"A few days ago, however, we received a visit from a military officer, who asked to see the issue of Light containing the article in question.",u,0,0,1,0
8,"NOTE - Mr Dunion says that it is my request about the bomb disposal officer, Mr Gould, and the Scene of Crime Officer, Mr Chisholm, that is INVALID.",m,0,1,0,0
9,The officer was sick for a few days but was keen to return to work for financial reasons.,u,0,0,1,0
10,"The mental health officer must also inform the responsible medical officer of those matters listed in subsection (2)(d), primarily whether the mental health officer agrees that the compulsion order should be extended.",d,0,0,0,1
11,"T and R were represented by the fourth respondent, their guardian, an officer of Cafcass.",u,0,0,1,0
12,"MySQL announced on Feb. 27 its hiring of Starkey, and also the hiring of a new chief technology officer, Taneli Otala, the former CTO of SenSage. http://www.computerworld.com.au/pp.php?id=1423768456&taxid=620938001 http://www.eweek.com/article2/0,1895,1869989,00.asp http://www.eweek.com/article2/0,1759,1871112,00.asp http://arstechnica.com/news.ars/post/20060217-6210.html Coming Soon -- Oracle rootkits??",d,0,0,0,1
13,"I mean, you are an experienced officer, and you knew your way around the organisation, but if you were a young female officer joining, very inexperienced, where can those officers go to get help, guidance and support?",f,1,0,0,0
14,"Suggested Wording: solicitors Will drafting guidelines I give and bequeath to The Childrenâ€TMs Society of Edward Rudolf House, Margery Street, London, WC1X 0JL, Charity No. 221124 (insert amount, percentage of estate or description of securities or property, ect.) absolutely to be used for general purposes AND I DIRECT that the receipt of the Treasurer or other proper officer of The Childrenâ€TMs Society shall be good and sufficient discharge.",d,0,0,0,1
15,"Says John Gage, chief research officer at Sun Microsystems: After listening to three days of serious analysis and work [at a conference on computers and the Third World, where Gates spoke], and then to have Gates rather flippantly say, ""You''ve got to have clean water and food"" -- that wasn''t exactly furthering the point of the entire meeting.",d,0,0,0,1
16,"The officer asked me to look around, which I did and found that I''d ordered everyone back and had been digging all by myself, in fact I was the only one still working out of the entire unit.",u,0,0,1,0
17,Blitz all the agencies for a CASE TRANSFER and get the families officer on board should smooth the transition.,d,0,0,0,1
18,Lt Ridout joined the column as supply and transport officer. 9th March 1902 Sunday: Lawley''s column separated from the other columns.,u,0,0,1,0
19,"An English officer, who had the temerity to advance a few paces to seize a Highlander, was instantly cut down by him and killed on the spot.",u,0,0,1,0
20,"The officer in charge of the investigation, Detective Chief Inspector Raymond Ramsey, said it was a vicious and brutal murder of an innocent man during the loyalist feud, which had left a family devastated, and it was vital for society that those responsible were brought to justice.",m,0,1,0,0
21,"It should be noted that when serving notices on registered companies, registered office addresses can often be ascertained free of charge from the ""companies house"" website at www.companieshouse.gov.uk . Paragraph 5H to schedule 9 of the act states that where a valuation officer requires the name or address of a person on whom an FOR (or penalty notice) is to be served, he may serve a notice on a billing authority which he reasonably believes may have that information requesting the authority to supply him with that information.",d,0,0,0,1
22,"Val''s father, an officer of long experience in many conflicts, was obviously devastated by the death of his only son.",m,0,1,0,0
23,"Such learning equips the officer with sets of expectations of what will be demanded of him or her in different places at different times and what members of the public might be doing in those places at these times"" (Brogden et al. 1988: 40) But at the same time it must be remembered that there was another source of major conflict between the police and the working class.",u,0,0,1,0
24,"Notice of decision to refer case to a hearing 14. - (1) Where a case is to be referred to a hearing, as soon as practicable the officer concerned shall be given written notice of the decision to refer the case to a hearing, and at least 21 days before the date of the hearing he shall be supplied with copies of - (a) any statement he may have made to the investigating officer; and (b) any relevant statement, document or other material in each case obtained during the course of the investigation.",m,0,1,0,0
25,"If any other officer or police department or the IPCC becomes responsible for the handling of the case or preparation of case papers or information, the officer responsible for the case or other nominated police officer will notify the CPS Unit in writing.",u,0,0,1,0
26,"Adding to the general mayhem are Rani''s strict army officer father (Amrish Puri), Samir''s best friend and astrologer (Rajpal Yadav) and resident snoozer (Satish Shah).",m,0,1,0,0
27,"For some reason, some service the nature of which had been often whispered and repeatedly denied, the Rajah of Kashgar had presented this officer with the sixth known diamond of the world.",u,0,0,1,0
28,The result was that I was reduced to the rank of Corporal and sent immediately to attend a course in small arms instruction at Hythe in Kent. You thought that I was going to say that I was sent to Sandhurst to train as an officer.,u,0,0,1,0
29,Amendments such as this must be verified by an officer of higher grade before the system will accept the change.,u,0,0,1,0
30,"This Extended Schools Team, which is unique in the country, also includes an extended school manager, a support officer and two additional Somali Achievement Strategy Manager posts.",d,0,0,0,1
31,I am also concerned about the respondent''s reaction to the CAFCASS officer and her apparent removal of Jake from nursery and home without telling the CAFCASS officer of her intentions.,d,0,0,0,1
32,"If any person by himself or by any person in his employ obstructs, molests, or hinders- ( a ) an officer or any person employed in relation to inland revenue in the execution of his duty, or of any of the powers or authorities by law given to the officer or person; or ( b ) any person acting in the aid of an officer or any person so employed; he shall for every such offence incur a fine of one hundred pounds 4 . 12.-Unlawful assumption of character of officer.",d,0,0,0,1
33,"For full details of the 2006 election and information about standing as a sabbatical officer, visit our section on sabbatical officer elections . Back To Top Changed your name or address?",d,0,0,0,1
34,"(3) The supervising officer shall be - (a) of at least the rank of chief inspector and at least one rank above that of the officer concerned; (b) a member of, or a special constable appointed for the area of, the same force as the officer concerned; and (c) not an interested party.",u,0,0,1,0
35,Most surprising of all is page three which contains technical tips from Niven Bradford - a quality assurance officer with Phoenix Natural Gas.,d,0,0,0,1
36,If you have a genuine difficulty and cannot visit any of these offices then please indicate this to a member of staff and an appointment can be made for an officer to visit you at home and deal with your enquiry.,u,0,0,1,0
37,"Fundamental to the planning is the strategy set down by the event commander, an ACPO officer, designated as ''Gold''.",u,0,0,1,0
38,Thirty six year old Power was identified by several people as the man on the river bank claiming to be a police officer.,u,0,0,1,0
