Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,The best starting point is to contact the vet for advice on where to have the bacteriological examinations done (see Practical Advice at the end of this chapter).,u,0,0,1,0
2,Talk to your vet about their recommendations.,u,0,0,1,0
3,Vet list Many RWA members have benefited from access to our list of vets with a particular interest in rabbits over the years.,u,0,0,1,0
4,"His new home also needs to be near Edenbridge in Kent, so that the Last Chance vet can prescribe the medication and monitor his condition.",u,0,0,1,0
5,"Vet inspection Regular (annual) inspection by your local vet at your own invitation is an excellent idea, and there is usually no charge if you explain that you are taking in rescued animals.",u,0,0,1,0
6,"outdoor run for the summer (or alternative indoor exercise space). · Give Guinea a companion, they are sociable animals. · Give daily exercise outside the hutch/cage. · Spend plenty of time with guinea each day– they need lots of love and cuddles. · Feed a variety of fresh foods and change water daily. · Clean out the cage 2-3 times weekly and regularly wash with an approved disinfectant . · Groom and bath regularly. · Ensure your guinea receives prompt medical care from a rodentologist or guinea competent vet. · Know someone who will care for your guineas when you are away. · Be aware of your guineas potential lifespan (5-7 years) they are a long term commitment. · Live in the Reading or Oxon area. · Undergo a ''Home check'' to ensure that the guinea pig is going to a suitable home.",u,0,0,1,0
7,"To keep the animal more comfortable until the dolphin pontoons arrived, we rolled up a tarpaulin and 5 Medics and the two vet nurses entered the still rising tide and supported it in shallow water to help re-establish equilibrium.",u,0,0,1,0
8,A 1-2 month course is recommended Bad Breath Garlic and Fenugreek Your pet should be examined by your vet to check for dental disease and other problems.,u,0,0,1,0
9,We are happy to talk to the vet about how Equine Touch can help support orthodox veterinary medicine and we can arrange to give feedback after the sessions.,u,0,0,1,0
10,"Rock vet talks new album, Disney soundtrack, Genesis reunion JOLIE LASH, Rolling Stone, September 16, 2002 Phil Collins returns to the airwaves this week with his new single, ""Can''t Stop Loving You,"" from Testify, his first solo record since 1996''s Dance Into the Light.",d,0,0,0,1
11,Ask the vet to show you how to do it.,u,0,0,1,0
12,Having a dog insurance uk or dog health insurance policy will alleviate this problem allowing your vet to treat your pet dog without having to be concerned over medical costs.,u,0,0,1,0
13,Did the vet say if you could do anything about it?,u,0,0,1,0
14,"Dawn took him to the vet and the vet nurse on hearing the story was shocked and commented that ""King could have killed him.",u,0,0,1,0
15,"If you have a rescue cat who won''t be groomed, often because of a pain caused by rough grooming in the past, first deal with any existing mats with the help of the vet.",u,0,0,1,0
16,"Keep the name, address and telephone number of your own vet next to the phone.",u,0,0,1,0
17,"By having â€ ̃hands onâ€TM experience in the presence of a vet they are able to ask questions about anything they are unsure of and thus are able to learn so much more, and any potential mistakes avoided.",u,0,0,1,0
18,"Firstly if someone cannot aford an adoption fee can they afford food, insurance and possibly vet bills? but mainly ASK A CAT CHARITY TO HELP YOU REHOME YOUR KITTENS Add a Message This is a public posting area.",u,0,0,1,0
19,"If in doubt, consult your vet.",u,0,0,1,0
20,That arrangement may not be ideal but there is no homeopathic vet near me so it will have to do.,u,0,0,1,0
21,"Joe Brownlie, Professor of Veterinary Pathology at the Royal Veterinary College, said yesterday: ""There would have be a full veterinary check on every animal coming into the UK from North America and rules insisting that owners register their pets with a vet on arrival in the country.",u,0,0,1,0
22,I think you''ll find *YOU* are by speaking in that manner to somebody who DOES know what they are talking about and being a vet nurse you will get a similar response from a veterinarian.,u,0,0,1,0
23,"The Countryside Alliance Campaign from Hunting: message from Sam Butler, Chairman, 22nd February 2001 With immediate effect, hunting is to be suspended for one week, or until further notice, during which time the senior vet at MAFF hopes to get a clearer picture of what they are dealing with.",u,0,0,1,0
24,Racing During a race the track vet must have a good view of the running and performance of all the greyhounds.,u,0,0,1,0
25,"When you first get a cat, ask the vet for advice on how to keep your cat healthy and continue to take your pet regularly for checkups.",u,0,0,1,0
26,"An apple a day may keep the doctor away, but seemingly not the vet!",u,0,0,1,0
27,"This was part of a private boarding kennels and the vet and nurses had full access, including the kitchen, where some meals were taken by them when they worked late into the evening.",u,0,0,1,0
